title,from_date,to_date,source_sheet_row,egs_match_title,mc_title,hltb_game_name,title_wiki,egs_namespace,egs_offer_id
Cursed to Golf,2023-12-27,2023-12-28,360,Cursed to Golf,Cursed to Golf,Cursed to Golf,Cursed to Golf,2cdc5a2758a6445d8d4f399ecb469aaf,cc8016226a1a4bca9208e071073ad788
Sail Forth,2024-01-11,2024-01-18,351,Sail Forth,Sail Forth,Sail Forth,Sail Forth,d93cf08971eb4920862a95870a051f81,c819b6b40a034231ad64b8406f75814e
Infinifactory,2024-01-25,2024-02-01,348,Infinifactory,Infinifactory,Infinifactory,Infinifactory,1260f09c5ab842b9a645e14f085ed5af,e69075bc6dd84fa09b47af91b3ce6723
Super Meat Boy Forever,2024-02-22,2024-02-29,342,Super Meat Boy Forever,Super Meat Boy Forever,Super Meat Boy Forever,Super Meat Boy Forever,epic,ef66029a1c0d467ea7755f6a88b4088c
Deus Ex: Mankind Divided,2024-03-14,2024-03-21,338,Deus Ex - Mankind Divided,Deus Ex: Mankind Divided,Deus Ex: Mankind Divided,Deus Ex: Mankind Divided,5c5b2b01c8ce475d86cdd2c76fd11f7b,6e41bd515f5e4c93bc7888b582e88865
Arcade Paradise,2024-07-18,2024-07-25,302,Arcade Paradise,Arcade Paradise,Arcade Paradise,Arcade Paradise,89b9c510e8d74b9da34c447915b1ffb1,f7ce9c6bfed74819894366568193d4f8
River City Girls,2025-04-10,2025-04-17,216,River City Girls,River City Girls,River City Girls,River City Girls,a02304688fb3406192a3491b4281bee7,ceea8c3f2f0b48dfbd5c658c3cb6d1b0
Deathloop,2025-06-05,2025-06-12,173,DEATHLOOP,Deathloop,Deathloop,Deathloop,7dee3ddeac7d427eb35def472be64d9c,b1f88c2f7d114879838a3e79d1d6f163
Amnesia: The Bunker,2025-10-16,2025-10-23,118,Amnesia: The Bunker,Amnesia: The Bunker,Amnesia: The Bunker,Amnesia: The Bunker,8c73bcc38bd4440f945d81ac7774b418,7ae41233a8ad4fd4a2d5a415abd77d24
Sorry We're Closed,2025-12-21,2025-12-22,90,Sorry We're Closed,Sorry We're Closed,Sorry We're Closed,Sorry We're Closed,489af623d8284d518502f8ee9d33b828,4e469c7d8bbf49bcabc2c07127d3d946
SKALD: Against the Black Priory,2025-12-28,2025-12-29,80,SKALD Against the Black Priory,SKALD: Against the Black Priory,SKALD: Against the Black Priory,Skald: Against the Black Priory,18cec32f6f994aad963423441a42a931,ad8e81ea170542c5a802c2337878712d
