Date,Title,Year,Game Wiki Link,Source Links,egs_search_title,egs_slug,egs_match_score,egs_product_name,egs_developer,egs_publisher
14-27 December 2018,Subnautica,2019,https://ru.wikipedia.org/wiki/Subnautica,https://www.polygon.com/2018/12/7/18130542/epic-games-store-free-games,Subnautica,subnautica,100.0,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment
28 December 2018-10 January 2019,Super Meat Boy,2019,https://ru.wikipedia.org/wiki/Super_Meat_Boy,https://www.igromania.ru/news/79692/V_Epic_Games_Store_nachalas_razdacha_Super_Meat_Boy.html,Super Meat Boy 3D,,100.0,,,
10-24 January 2019,What Remains of Edith Finch,2019,https://ru.wikipedia.org/wiki/What_Remains_of_Edith_Finch,https://www.polygon.com/2019/1/10/18177082/what-remains-of-edith-finch-epic-games-store-free-giveaways/,What Remains of Edith Finch,what-remains-of-edith-finch,100.0,What Remains Of Edith Finch,Giant Sparrow,Annapurna Interactive
24 January - 7 February 2019,The Jackbox Party Pack,2019,https://ru.wikipedia.org/wiki/The_Jackbox_Party_Pack,https://www.pcgamer.com/the-jackbox-party-pack-is-the-next-free-game-from-the-epic-games-store/,The Jackbox Party Pack 8,jackbox-party-pack-8,100.0,,,
7-21 February 2019,Axiom Verge,2019,https://ru.wikipedia.org/wiki/Axiom_Verge,https://www.rockpapershotgun.com/axiom-verge-free-download,Axiom Verge 2,axiom-verge-2,100.0,Axiom Verge 2,,Thomas Happ Games LLC
