Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
Dishonored: Death of the Outsider,True,Dishonored: Death of the Outsider,6.56,11.6,17.97,10.63,76.0,"PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Dishonored: Death of the Outsider
Disney Speedstorm - Monochromatic Pack - Racer Ariel,False,,,,,,,,,,,
Divine Knockout (DKO),False,,,,,,,,,,,
Dodo Peak,True,Dodo Peak,2.48,3.14,3.8,3.08,43.0,"Mobile, PC",2019.0,1.0,1.0,Dodo Peak
Doki Doki Literature Club Plus!,True,Doki Doki Literature Club Plus!,4.61,8.14,14.67,8.07,81.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Doki Doki Literature Club Plus!
Doodle Devil: Dark Side,False,,,,,,,,,,,
Doodle Farm: Breeds and Beasts,False,,,,,,,,,,,
Doodle God: Infinite Alchemy Merge,False,,,,,,,,,,,
Doodle Kingdom: Medieval,False,,,,,,,,,,,
Doodle Mafia: Epic Alchemy,False,,,,,,,,,,,
Doors: Paradox,True,Doors: Paradox,5.41,5.77,6.51,6.31,70.0,"Mobile, PC, PlayStation 4, PlayStation 5",2022.0,1.0,1.0,Doors: Paradox
Double Dragon Trilogy,True,Double Dragon Trilogy,1.98,2.15,7.45,2.88,53.0,PC,2015.0,1.0,1.0,Double Dragon Trilogy
Dragon Age: Inquisition - Game of the Year Edition,True,Dragon Age: Inquisition - Game of the Year Edition,51.19,93.11,144.71,97.06,78.0,"PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Dragon Age: Inquisition - Game of the Year Edition
Dragon Age: The Veilguard - Rook’s Weapons Appearance,False,,,,,,,,,,,
Drawful 2,True,Drawful 2,1.9,6.49,6.56,5.03,72.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Drawful 2
Dredge,True,Dredge,9.69,12.78,20.43,13.74,81.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Dredge
Dumb Ways to Die,True,Dumb Ways to Die,0.96,0.0,8.78,4.87,59.0,Mobile,2013.0,1.0,1.0,Dumb Ways to Die
Dumb Ways to Die 2: The Games,True,Dumb Ways to Die 2: The Games,8.72,0.0,0.0,8.72,57.0,Mobile,2014.0,1.0,1.0,Dumb Ways to Die 2: The Games
Dumb Ways to Draw,True,Dumb Ways to Draw,0.0,0.0,0.0,0.0,0.0,Mobile,2019.0,1.0,1.0,Dumb Ways to Draw
Dungeon of the Endless: Apogee,False,,,,,,,,,,,
Dungeons 3,True,Dungeons 3,26.09,35.37,63.39,32.62,72.0,"PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Dungeons 3
Duskers,True,Duskers,8.99,18.41,0.0,14.7,67.0,PC,2015.0,1.0,1.0,Duskers
Dying Light - 10th Anniversary Bundle,False,,,,,,,,,,,
Dying Light - Shu Warrior Bundle,False,,,,,,,,,,,
Dying Light: Enhanced Edition,True,Dying Light,18.12,36.4,64.25,31.5,79.0,"Linux, Mac, PC, PlayStation 4, Xbox One",2015.0,1.0,0.99,Dying Light
EARTHLOCK,True,Earthlock,22.1,29.69,32.66,29.34,64.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,EARTHLOCK
Eastern Exorcist,True,Eastern Exorcist,5.01,8.71,15.64,7.88,67.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,Eastern Exorcist
Echo Starter Pack,False,,,,,,,,,,,
Electrician Simulator,True,Electrician Simulator,7.26,9.25,9.93,8.78,64.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Electrician Simulator
Elite Dangerous,True,Elite: Dangerous,113.63,270.33,676.78,265.36,74.0,"PC, PlayStation 4, Xbox One",2014.0,0.967741935483871,1.0,Elite Dangerous
Empyrion - Galactic Survival,False,,,,,,,,,,,
Encased: A Sci-Fi Post-Apocalyptic RPG,True,Encased: A Sci-Fi Post-Apocalyptic RPG,28.01,38.52,70.71,40.68,67.0,"Linux, PC",2021.0,1.0,1.0,Encased: A Sci-Fi Post-Apocalyptic RPG
Enter the Gungeon,True,Enter the Gungeon,22.46,62.04,160.69,69.63,80.0,"Google Stadia, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Enter the Gungeon
Epistory - Typing Chronicles,False,,,,,,,,,,,
Escape Academy,True,Escape Academy,5.01,5.63,5.88,5.24,74.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Escape Academy
Eternal Threads,True,Eternal Threads,7.26,8.29,9.43,8.45,69.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Eternal Threads
Eternights,True,Eternights,11.5,13.12,17.26,12.84,71.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5",2023.0,1.0,1.0,Eternights
Europa Universalis IV,True,Europa Universalis IV,95.5,356.96,1626.03,374.27,84.0,PC,2013.0,1.0,1.0,Europa Universalis IV
Everything,True,Everything,2.97,5.66,18.53,4.57,68.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4",2017.0,1.0,1.0,Everything
Evil Dead: The Game,True,Evil Dead: The Game,3.09,25.79,191.5,23.11,54.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Evil Dead: The Game
Evoland 2,True,Evoland 2,17.13,20.45,28.19,22.86,74.0,"Mobile, PC, Nintendo Switch, PlayStation 4",2015.0,1.0,1.0,Evoland 2
Evoland Legendary Edition,True,Evoland: Legendary Edition,20.87,25.41,31.84,27.02,70.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,0.9803921568627452,1.0,Evoland Legendary Edition
Eximius: Seize the Frontline,True,Eximius: Seize the Frontline,13.62,0.0,0.0,13.62,53.0,PC,2018.0,1.0,1.0,Eximius: Seize the Frontline
F.I.S.T.: Forged In Shadow Torch,True,F.I.S.T.: Forged In Shadow Torch,12.47,16.67,20.27,16.74,75.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X/S",2021.0,1.0,1.0,F.I.S.T.: Forged In Shadow Torch
F1® Manager 2024,False,,,,,,,,,,,
FEZ,True,Fez,5.97,8.28,11.67,8.61,80.0,"Mac, Mobile, Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360",2012.0,1.0,1.0,FEZ
FTL: Faster Than Light,True,FTL: Faster Than Light,12.09,31.6,112.86,25.67,81.0,"Linux, Mac, Mobile, PC",2012.0,1.0,1.0,FTL: Faster Than Light
Faeria,True,Faeria,11.76,41.68,122.53,21.96,68.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Faeria
Faily Brakes 2,True,Faily Brakes 2,0.0,0.0,0.0,0.0,0.0,Mobile,2020.0,1.0,1.0,Faily Brakes 2
Fall Guys - Digi Costume,False,,,,,,,,,,,
Fallout 2: A Post Nuclear Role Playing Game,False,,,,,,,,,,,
Fallout 3: Game of the Year Edition,True,Fallout 3: Game of the Year Edition,26.38,58.06,106.34,57.94,81.0,"Amazon Luna, PC, PlayStation 3, Xbox 360",2009.0,1.0,1.0,Fallout 3: Game of the Year Edition
Fallout Tactics: Brotherhood of Steel,True,Fallout Tactics: Brotherhood of Steel,25.57,45.64,49.23,40.86,63.0,PC,2001.0,1.0,1.0,Fallout Tactics: Brotherhood of Steel
Fallout: New Vegas - Ultimate Edition,True,Fallout: New Vegas - Ultimate Edition,32.67,77.29,144.28,82.69,90.0,"PC, PlayStation 3, Xbox 360",2012.0,1.0,1.0,Fallout: New Vegas - Ultimate Edition
Fallout® Classic Collection,False,,,,,,,,,,,
Farming Simulator 19,True,Farming Simulator 19,113.38,234.54,253.97,207.46,69.0,"Google Stadia, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Farming Simulator 19
Farming Simulator 22,True,Farming Simulator 22,163.25,216.44,269.28,235.09,75.0,"Google Stadia, Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Farming Simulator 22
Fear the Spotlight,True,Fear The Spotlight,3.6,4.57,6.22,4.56,76.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2024.0,1.0,1.0,Fear the Spotlight
Felix The Reaper,True,Felix The Reaper,4.89,7.48,10.64,6.03,58.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Felix The Reaper
Figment,False,,,,,,,,,,,
Figment 2: Creed Valley,True,Figment 2: Creed Valley,4.07,4.45,6.14,4.67,78.0,"Google Stadia, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Figment 2: Creed Valley
Filament,True,Filament,18.33,25.11,26.87,24.07,66.0,"Linux, PC",2020.0,1.0,1.0,Filament
Firestone Free Offer,False,,,,,,,,,,,
Firestone Online Idle RPG - Special Offer,False,,,,,,,,,,,
First Class Trouble,True,First Class Trouble,0.64,0.0,25.01,13.64,62.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5",2021.0,1.0,1.0,First Class Trouble
Five Nights at Freddy's: Into the Pit,True,Five Nights at Freddy's: Into the Pit,4.16,5.55,16.56,5.2,75.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2024.0,1.0,1.0,Five Nights at Freddy's: Into the Pit
Floppy Knights,True,Floppy Knights,9.68,18.42,23.69,17.76,67.0,"Mac, Nintendo Switch, PC, Xbox One",2022.0,1.0,1.0,Floppy Knights
Football Manager 2020,True,Football Manager 2020,281.75,299.93,518.84,318.42,78.0,"Mobile, PC",2019.0,1.0,1.0,Football Manager 2020
Football Manager 2024,True,Football Manager 2024,138.52,224.0,415.58,193.86,82.0,"Mac, Mobile, Nintendo Switch, PC, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Football Manager 2024
For Honor - Standard Edition,False,,,,,,,,,,,
For The King,True,For The King,11.86,34.69,75.14,23.95,72.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,For The King
Fort Triumph,True,Fort Triumph,8.8,11.86,17.43,11.39,61.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Fort Triumph
Fortnite -- Frosted Skyline Pack,False,,,,,,,,,,,
Freshly Frosted,True,Freshly Frosted,6.13,7.51,7.67,7.31,74.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2022.0,1.0,1.0,Freshly Frosted
Frostpunk,True,Frostpunk,10.65,25.05,55.91,16.18,81.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Frostpunk
GNOG,True,GNOG,1.86,1.99,2.06,1.97,71.0,"PC, PlayStation 4",2017.0,1.0,1.0,GNOG
GRIME,True,Grime,12.4,18.56,29.82,18.85,76.0,"Google Stadia, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,GRIME
Galactic Civilizations III,True,Galactic Civilizations III,27.21,37.12,54.94,32.74,64.0,PC,2015.0,1.0,1.0,Galactic Civilizations III
Gamedec - Definitive Edition,True,Gamedec,10.47,15.02,19.77,13.01,69.0,"Nintendo Switch, PC",2021.0,1.0,0.99,Gamedec
Garden Story,True,Garden Story,10.74,14.39,19.55,15.61,71.0,"Nintendo Switch, PC, Xbox One",2021.0,1.0,1.0,Garden Story
Geneforge 1 - Mutagen,True,Geneforge: 1-Mutagen,37.0,39.72,0.0,39.06,72.0,PC,2021.0,1.0,1.0,Geneforge 1 - Mutagen
Ghostbusters: The Video Game Remastered,True,Ghostbusters: The Video Game - Remastered,7.54,8.64,12.62,8.4,71.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,0.975,1.0,Ghostbusters: The Video Game Remastered
Ghostrunner,True,Ghostrunner,7.09,9.25,14.32,8.39,76.0,"Amazon Luna, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2020.0,1.0,1.0,Ghostrunner
Ghostrunner 2,True,Ghostrunner II,8.4,11.16,17.04,10.48,76.0,"PC, PlayStation 5, Xbox Series X/S",2023.0,1.0,0.9,Ghostrunner 2
Ghostwire: Tokyo,True,Ghostwire: Tokyo,11.35,22.82,42.12,21.9,73.0,"PC, PlayStation 5, Xbox Series X/S",2022.0,1.0,1.0,Ghostwire: Tokyo
Gigabash,True,Gigabash,2.63,4.46,7.17,3.0,69.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Gigabash
Gigantic: Rampage Edition,True,Gigantic,23.2,0.0,0.0,23.2,52.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2024.0,1.0,0.96,Gigantic: Rampage Edition
Gigapocalypse,True,Gigapocalypse,3.14,4.0,35.0,4.94,61.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2021.0,1.0,1.0,Gigapocalypse
Gloomhaven,True,Gloomhaven,96.0,142.21,181.15,129.62,74.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Gloomhaven
GoNNER,True,GoNNER,7.54,8.9,9.68,8.94,54.0,"Nintendo Switch, PC, Xbox One",2016.0,1.0,1.0,GoNNER
God's Trigger,True,God's Trigger,5.19,7.19,9.9,5.84,63.0,"PC, PlayStation 4",2019.0,1.0,1.0,God's Trigger
Godfall: Challenger Edition,True,Godfall: Challenger Edition,2.89,0.0,0.0,2.89,71.0,"PC, PlayStation 4, PlayStation 5",2021.0,1.0,1.0,Godfall: Challenger Edition
Godlike Burger,True,Godlike Burger,29.82,0.0,38.07,31.15,48.0,"Linux, Mac, PC",2022.0,1.0,1.0,Godlike Burger
Gods Will Fall,True,Gods Will Fall,4.87,6.84,9.97,5.18,52.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2021.0,1.0,1.0,Gods Will Fall
Godzilla Voxel Wars,True,Godzilla Voxel Wars,18.73,0.0,0.0,18.73,48.0,"Mac, Nintendo Switch, PC",2023.0,1.0,1.0,Godzilla Voxel Wars
Golden Light,True,Golden Light,8.24,0.0,68.81,19.54,60.0,PC,2020.0,1.0,1.0,Golden Light
Gone Home,True,Gone Home,1.99,2.54,3.1,2.2,71.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2013.0,1.0,1.0,Gone Home
Grand Theft Auto V,True,Grand Theft Auto V,32.04,51.5,88.43,45.38,87.0,"PC, PlayStation 3, PlayStation 4, PlayStation 5, Xbox 360, Xbox One, Xbox Series X/S",2013.0,1.0,1.0,Grand Theft Auto V
Gravity Circuit,True,Gravity Circuit,4.89,6.17,13.52,6.19,81.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5",2023.0,1.0,1.0,Gravity Circuit
Guacamelee! 2,True,Guacamelee! 2,8.77,11.39,15.67,11.48,80.0,"PC, Nintendo Switch, PlayStation 4, Xbox One",2018.0,1.0,1.0,Guacamelee! 2
Guacamelee! Super Turbo Championship Edition,True,Guacamelee!: Super Turbo Championship Edition,7.02,9.99,15.77,9.21,78.0,"PC, Nintendo Switch, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox 360, Xbox One",2014.0,0.9887640449438202,1.0,Guacamelee! Super Turbo Championship Edition
Guild of Dungeoneering Ultimate Edition,True,Guild of Dungeoneering,11.58,18.06,27.21,16.37,60.0,"Mobile, PC",2015.0,1.0,0.99,Guild of Dungeoneering
HOT WHEELS UNLEASHED™,False,,,,,,,,,,,
HUMANKIND™,False,,,,,,,,,,,
Halcyon 6: Starbase Commander,True,Halcyon 6: Starbase Commander,14.98,23.45,35.0,18.6,70.0,PC,2016.0,1.0,1.0,Halcyon 6: Starbase Commander
Hand of Fate 2,True,Hand of Fate 2,22.2,43.13,106.75,41.77,72.0,"Nintendo Switch, PC, PlayStation 4",2017.0,1.0,1.0,Hand of Fate 2
Happy Game,True,Happy Game,2.06,2.24,2.45,2.19,66.0,"Mac, Mobile, Nintendo Switch, PC",2021.0,1.0,1.0,Happy Game
Havendock,True,Havendock,22.02,27.74,27.95,24.53,57.0,PC,2023.0,1.0,1.0,Havendock
Hell Let Loose,True,Hell Let Loose,35.92,1200.0,2610.0,520.75,70.0,"PC, PlayStation 5, Xbox Series X/S",2021.0,1.0,1.0,Hell Let Loose
Hell Let Loose - Summer Warfare Pack,False,,,,,,,,,,,
Hell is Other Demons,True,Hell is Other Demons,3.14,5.2,10.65,4.29,68.0,"Linux, Mac, Nintendo Switch, PC",2019.0,1.0,1.0,Hell is Other Demons
Hell is Others,True,Hell is Others,39.39,40.19,0.0,39.67,52.0,PC,2022.0,1.0,1.0,Hell is Others
Hello Neighbor,True,Hello Neighbor,8.18,14.06,16.3,11.41,51.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Hello Neighbor
Hidden Folks,True,Hidden Folks,3.68,4.98,7.48,6.52,70.0,"Mobile, PC, Nintendo Switch",2017.0,1.0,1.0,Hidden Folks
Hitman,True,Hitman,10.73,23.75,93.35,18.58,80.0,"Google Stadia, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Hitman
Hob,True,Hob,10.31,11.39,16.94,11.61,75.0,"Nintendo Switch, PC, PlayStation 4",2017.0,1.0,1.0,Hob
Hogwarts Legacy,True,Hogwarts Legacy,26.69,45.24,72.01,47.72,78.0,"Nintendo Switch, Nintendo Switch 2, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,1.0,1.0,Hogwarts Legacy
Homeworld Remastered Collection,True,Homeworld: Remastered Collection,21.0,22.76,32.49,25.36,80.0,PC,2015.0,0.984126984126984,1.0,Homeworld Remastered Collection
Homeworld: Deserts of Kharak,True,Homeworld: Deserts of Kharak,10.31,11.9,18.06,11.18,75.0,PC,2016.0,1.0,1.0,Homeworld: Deserts of Kharak
Hood: Outlaws & Legends,True,Hood: Outlaws and Legends,1.62,26.52,0.0,5.66,55.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Hood: Outlaws & Legends
Horace,True,Horace,13.97,17.87,23.78,16.54,70.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2019.0,1.0,1.0,Horace
Horizon Chase Turbo,True,Horizon Chase Turbo,10.21,15.33,32.7,15.16,77.0,"Amazon Luna, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",2018.0,1.0,1.0,Horizon Chase Turbo
Hue,True,HUE,4.66,5.6,6.76,5.56,72.0,"Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",2016.0,1.0,1.0,Hue
Human Resource Machine,True,Human Resource Machine,4.39,8.09,10.08,7.9,73.0,"Linux, Mac, Mobile, Nintendo Switch, PC, Wii U",2015.0,1.0,1.0,Human Resource Machine
Hundred Days: Winemaking Simulator,False,,,,,,,,,,,
Hyper Echelon,True,Hyper Echelon,9.83,9.92,0.0,9.89,57.0,"Mac, Nintendo Switch, PC, PlayStation 4",2021.0,1.0,1.0,Hyper Echelon
Hyper Light Drifter,True,Hyper Light Drifter,7.75,11.74,27.16,10.09,80.0,"Linux, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Hyper Light Drifter
INDUSTRIA,True,Industria,3.08,3.67,5.65,3.48,63.0,"PC, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,INDUSTRIA
INSIDE,True,Inside,3.56,4.04,4.69,4.01,82.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,INSIDE
Idle Champions of the Forgotten Realms - Astarion's Champions of Renown Pack,False,,,,,,,,,,,
Idle Champions of the Forgotten Realms - Dragonlance Pack,False,,,,,,,,,,,
Idle Champions of the Forgotten Realms - Dungeon & Dragons Pack,False,,,,,,,,,,,
Idle Champions of the Forgotten Realms - Epic Champions of Renown Pack,False,,,,,,,,,,,
Idle Champions of the Forgotten Realms - Gladiators of the Black Pits Pack,False,,,,,,,,,,,
Idle Champions of the Forgotten Realms - Nixie's Champions of Renown Pack,False,,,,,,,,,,,
Idle Champions of the Forgotten Realms - Raistlin's Renown Pack,False,,,,,,,,,,,
Idle Champions of the Forgotten Realms - Wulfgar's Legends of Renown Pack,False,,,,,,,,,,,
In Sound Mind,True,In Sound Mind,10.22,13.48,15.58,13.32,79.0,"Nintendo Switch, PC, PlayStation 5, Xbox Series X/S",2021.0,1.0,1.0,In Sound Mind
Infinifactory,True,Infinifactory,37.91,52.41,63.88,49.25,77.0,"PC, PlayStation 4",2015.0,1.0,1.0,Infinifactory
Infinity Nikki MEGA Sale Bundle,False,,,,,,,,,,,
InnerSpace,True,InnerSpace,5.57,7.39,7.55,7.13,47.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,InnerSpace
Insurmountable,True,Insurmountable,7.03,9.58,13.32,8.85,63.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Insurmountable
Into the Breach,True,Into the Breach,5.74,20.01,52.88,13.78,82.0,"Google Stadia, Linux, Mac, Mobile, Nintendo Switch, PC",2018.0,1.0,1.0,Into the Breach
Invincible Presents: Atom Eve,True,Invincible Presents: Atom Eve,4.5,5.8,9.29,5.49,69.0,PC,2023.0,1.0,1.0,Invincible Presents: Atom Eve
Iratus: Lord of the Dead,True,Iratus: Lord of the Dead,12.35,19.46,40.46,16.77,66.0,PC,2019.0,1.0,1.0,Iratus: Lord of the Dead
Ironcast,True,Ironcast,8.46,18.12,38.83,16.34,55.0,"Nintendo Switch, PC, PlayStation 4",2015.0,1.0,1.0,Ironcast
Islets,True,Islets,7.33,8.14,9.28,8.56,80.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Islets
Isonzo,True,Isonzo,12.1,19.41,115.0,35.07,74.0,"Linux, Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Isonzo
Jackbox Party Pack 4,True,The Jackbox Party Pack 4,3.76,7.05,7.45,5.67,72.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,0.9090909090909092,0.94,Jackbox Party Pack 4
Jitsu Squad,True,Jitsu Squad,2.57,2.98,5.1,2.74,67.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Jitsu Squad
Jorel’s Brother and The Most Important Game of the Galaxy,False,,,,,,,,,,,
Jotun: Valhalla Edition,True,Jotun,5.16,5.67,7.36,5.57,67.0,"Google Stadia, Linux, Mac, Nintendo Switch, PC, PlayStation 4, Wii U, Xbox One",2015.0,1.0,0.96,Jotun: Valhalla Edition
Jotunnslayer: Hordes of Hel,True,Jotunnslayer: Hordes of Hel,6.18,10.63,21.8,8.94,70.0,"PC, PlayStation 5, Xbox Series X/S",2025.0,1.0,1.0,Jotunnslayer: Hordes of Hel
Jurassic World Evolution,True,Jurassic World Evolution,25.43,41.6,69.85,40.18,74.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Jurassic World Evolution
Jurassic World Evolution 2,True,Jurassic World Evolution 2,5.93,36.18,104.57,19.73,73.0,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Jurassic World Evolution 2
Just Cause 4,True,Just Cause 4,16.11,28.0,54.49,25.09,63.0,"PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Just Cause 4
Just Die Already,True,Just Die Already,3.61,7.49,12.43,6.74,51.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2021.0,1.0,1.0,Just Die Already
KID A MNESIA EXHIBITION,True,KID A MNESIA EXHIBITION,0.91,1.4,1.53,1.06,73.0,"PC, PlayStation 5",2021.0,1.0,1.0,KID A MNESIA EXHIBITION
Kamaeru,True,Kamaeru: A Frog Refuge,4.89,8.58,14.09,8.22,62.0,"Linux, Mac, Nintendo Switch, PC, Xbox Series X/S",2024.0,0.4827586206896552,0.95,Kamaeru
Kao the Kangaroo,True,Kao the Kangaroo,5.6,7.73,11.37,7.8,63.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Kao the Kangaroo
Kardboard Kings,True,Kardboard Kings: Card Shop Simulator,3.18,11.6,25.44,5.96,64.0,"Nintendo Switch, PC",2022.0,0.5882352941176471,0.95,Kardboard Kings
Ken Follett's The Pillars of the Earth,True,Ken Follett's The Pillars of the Earth,14.47,16.24,19.18,16.37,76.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Ken Follett's The Pillars of the Earth
Kerbal Space Program,True,Kerbal Space Program,113.03,233.5,601.66,244.84,80.0,"Linux, Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2015.0,1.0,1.0,Kerbal Space Program
Keylocker | Turn Based Cyberpunk Action,True,Keylocker,20.0,25.47,0.0,23.39,75.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X/S",2024.0,1.0,0.9,Keylocker | Turn Based Cyberpunk Action
Kill Knight,True,Kill Knight,6.0,14.3,38.14,11.79,78.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2024.0,1.0,1.0,Kill Knight
Killing Floor 2,True,Killing Floor 2,16.32,92.17,127.88,67.39,71.0,"PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Killing Floor 2
Kingdom Come: Deliverance,True,Kingdom Come: Deliverance,42.6,80.29,136.34,79.27,81.0,"Nintendo Switch, PC, PlayStation 4, Xbox One",2018.0,1.0,1.0,Kingdom Come: Deliverance
Kingdom: New Lands,True,Kingdom: New Lands,10.7,26.95,36.67,22.2,71.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2016.0,1.0,1.0,Kingdom: New Lands
Knockout City,True,Knockout City,20.44,79.22,65.25,62.4,71.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Knockout City
LEGO Batman 2: DC Super Heroes,True,LEGO Batman 2: DC Super Heroes,8.97,15.49,24.1,15.93,74.0,"Mobile, Nintendo 3DS, Nintendo DS, PC, PlayStation 3, PlayStation Vita, Wii, Wii U, Xbox 360, Xbox One",2012.0,1.0,1.0,LEGO Batman 2: DC Super Heroes
LEGO Batman 3: Beyond Gotham,True,LEGO Batman 3: Beyond Gotham,10.2,19.38,36.28,24.87,71.0,"Mobile, Nintendo 3DS, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox 360, Xbox One",2014.0,1.0,1.0,LEGO Batman 3: Beyond Gotham
LEGO Builder's Journey,True,LEGO Builder's Journey,2.39,2.53,2.58,2.49,68.0,"Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,LEGO Builder's Journey
LEGO® Star Wars™: The Skywalker Saga,False,,,,,,,,,,,
