Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
Arcade Paradise,True,Arcade Paradise,25.0,28.33,46.82,28.89,70.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Arcade Paradise
Arcadgeddon Promo bundle,False,,,,,,,,,,,
Ark: Survival Evolved,True,ARK: Survival Evolved,67.59,278.06,953.31,263.51,65.0,"Google Stadia, Mac, Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Ark: Survival Evolved
Asphalt Legends UNITE: Triple Decal Pack,False,,,,,,,,,,,
Assassin's Creed: Syndicate,True,Assassin's Creed: Syndicate,19.0,33.89,55.8,33.97,73.0,"Google Stadia, PC, PlayStation 4, Xbox One",2015.0,1.0,1.0,Assassin's Creed: Syndicate
Astrea: Six Sided Oracles,True,Astrea: Six-Sided Oracles,12.41,21.54,49.78,15.81,80.0,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2023.0,0.96,1.0,Astrea: Six Sided Oracles
Astro Duel 2,True,Astro Duel II,1.39,2.33,3.0,1.58,57.0,"Mac, PC",2024.0,1.0,0.9,Astro Duel 2
Automachef,True,Automachef,24.99,35.41,44.56,36.8,63.0,"Nintendo Switch, PC",2019.0,1.0,1.0,Automachef
Aven Colony,True,Aven Colony,26.65,35.05,37.51,29.74,71.0,"PC, PlayStation 4, Xbox One",2017.0,1.0,1.0,Aven Colony
Axiom Verge,True,Axiom Verge,10.71,13.4,17.13,12.57,78.0,"Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Wii U, Xbox One",2015.0,1.0,1.0,Axiom Verge
Aztez,True,Aztez,3.88,0.0,20.72,4.5,57.0,PC,2017.0,1.0,1.0,Aztez
