FROM,TO,DAY,DAYS,TYPE,NAME,NAME / NOTES,test_reason,Date,Title,Year,Game Wiki Link,Source Links
NA,NA,NA,NA,NA,NA,NA,w: Non-ASCII or Symbol,23 December 2024,Легендарный статус для Dark and Darker,2024,https://ru.wikipedia.org/wiki/Dark_and_Darker,https://kanobu.ru/news/v-epic-games-store-nachalas-razdacha-legendarnogo-statusa-dark-and-darker-494822/
NA,NA,NA,NA,NA,NA,NA,w: Non-ASCII or Symbol,23-30 January 2025,Behind the Frame: Живые полотна,2025,https://ru.wikipedia.org/wiki/Behind_the_Frame:_Живые_полотна?action=edit&redlink=1,https://www.igromania.ru/news/146771/v-epic-games-store-stali-besplatno-otdavat-atmosfernuyu-istoriyu-behind-the-frame/
NA,NA,NA,NA,NA,NA,NA,w: Non-ASCII or Symbol,6-13 March 2025,Them’s Fightin’ Herds,2025,https://ru.wikipedia.org/wiki/Them’s_Fightin’_Herds?action=edit&redlink=1,https://dtf.ru/games/3618563-v-epic-games-store-nachalas-razdacha-thems-fightin-herds-dvuhmernogo-faitinga-so-zvermi
NA,NA,NA,NA,NA,NA,NA,w: Non-ASCII or Symbol,21 December 2025,Sorry We’re Closed,2025,https://ru.wikipedia.org/wiki/Sorry_We’re_Closed?action=edit&redlink=1,https://vgtimes.ru/news/142182-v-egs-nachalas-pyataya-prazdnichnaya-razdacha.-daryat-horror-sorry-were-closed.html
NA,NA,NA,NA,NA,NA,NA,w: Non-ASCII or Symbol,5-12 March 2026,Набор Dragonlance для Idle Champions of the Forgotten Realms,2026,https://ru.wikipedia.org/wiki/Idle_Champions_of_the_Forgotten_Realms?action=edit&redlink=1,https://www.igromania.ru/news/164456/v-epic-games-store-nachali-otdavat-milyij-shuter-turnip-boy-robs-a-bank-pro-repchika/
NA,NA,NA,NA,NA,NA,NA,w: Punctuation Sample,26 December 2022,F.I.S.T.: Forged In Shadow Torch,2022,https://ru.wikipedia.org/wiki/F.I.S.T.:_Forged_In_Shadow_Torch?action=edit&redlink=1,https://www.igromania.ru/news/121937/F.I.S.T._Forged_In_Shadow_Torch_stala_ocherednoy_besplatnoy_igroy_v_EGS.html
NA,NA,NA,NA,NA,NA,NA,w: Punctuation Sample,16-23 October 2025,Amnesia: The Bunker,2025,https://ru.wikipedia.org/wiki/Amnesia:_The_Bunker,https://www.igromania.ru/news/157318/v-egs-nachalas-besplatnaya-razdacha-horrora-amnesia-the-bunker-i-priklyucheniya-samorost-3/
NA,NA,NA,NA,NA,NA,NA,w: Punctuation Sample,10-17 November 2022,Alba: A Wildlife Adventure,2022,https://ru.wikipedia.org/wiki/Alba:_A_Wildlife_Adventure?action=edit&redlink=1,https://kanobu.ru/news/na-sleduyuschej-nedele-v-egs-razdadut-evil-dead-the-game-459072/
NA,NA,NA,NA,NA,NA,NA,w: Punctuation Sample,14-21 March 2024,Deus Ex: Mankind Divided,2024,https://ru.wikipedia.org/wiki/Deus_Ex:_Mankind_Divided,https://www.igromania.ru/news/136497/v-epic-games-store-stali-besplatno-otdavat-deus-ex-mankind-divided-i-the-bridge/
NA,NA,NA,NA,NA,NA,NA,w: Punctuation Sample,28 December 2019,Shadow Tactics: Blades of the Shogun,2019,https://ru.wikipedia.org/wiki/Shadow_Tactics:_Blades_of_the_Shogun,https://dtf.ru/sale/89979-v-epic-games-store-nachalas-razdacha-shadow-tactics-blades-of-the-shogun
NA,NA,NA,NA,NA,NA,NA,w: Punctuation Sample,20 December 2020,Defense Grid: The Awakening,2020,https://ru.wikipedia.org/wiki/Defense_Grid:_The_Awakening,https://www.igromania.ru/news/100946/Novoy_besplatnoy_igroy_v_Epic_Games_Store_stala_Defense_Grid_The_Awakening.html
NA,NA,NA,NA,NA,NA,NA,w: Multi-Game Sample,30 December 2025,"Trine Classic Collection
Trine
Trine 2
Trine 3: The Artifacts of Power
Trine 4: The Nightmare Prince",2025,https://ru.wikipedia.org/wiki/Trine,https://dtf.ru/games/4572572-razdacha-trine-classic-collection-v-epic-game-store
NA,NA,NA,NA,NA,NA,NA,w: Multi-Game Sample,14-21 November 2024,Castlevania Anniversary Collection,2024,https://ru.wikipedia.org/wiki/Castlevania_Anniversary_Collection?action=edit&redlink=1,https://kanobu.ru/news/v-magazine-egs-startovala-razdacha-castlevania-anniversary-collection-i-snakebird-complete-493159/
NA,NA,NA,NA,NA,NA,NA,w: Multi-Game Sample,11-18 November 2021,Rogue Company Season Four Epic Pack,2021,https://ru.wikipedia.org/wiki/Rogue_Company?action=edit&redlink=1,https://www.igromania.ru/news/110711/Cherez_nedelyu_v_Epic_Games_Store_budut_besplatno_otdavat_tri_igry.html
NA,NA,NA,NA,NA,NA,NA,w: Multi-Game Sample,27 July - 3 August 2023,Homeworld Remastered Collection,2023,https://ru.wikipedia.org/wiki/Homeworld_Remastered_Collection?action=edit&redlink=1,https://kanobu.ru/news/v-egs-besplatno-razdayut-homeworld-remastered-collection-i-severed-steel-472539/
NA,NA,NA,NA,NA,NA,NA,w: Multi-Game Sample,24 January - 7 February 2019,The Jackbox Party Pack,2019,https://ru.wikipedia.org/wiki/The_Jackbox_Party_Pack,https://www.pcgamer.com/the-jackbox-party-pack-is-the-next-free-game-from-the-epic-games-store/
NA,NA,NA,NA,NA,NA,NA,w: Multi-Game Sample,26 May - 2 June 2022,"BioShock: The Collection
BioShock Remastered
BioShock 2 Remastered
BioShock Infinite: The Complete Edition",2022,https://ru.wikipedia.org/wiki/BioShock:_The_Collection,https://www.pcgamesn.com/bioshock-the-collection/free-game-epic-store
NA,NA,NA,NA,NA,NA,NA,w: Hardcoded Anomaly,17-24 October 2019,Alan Wake’s American Nightmare,2019,https://ru.wikipedia.org/wiki/Alan_Wake’s_American_Nightmare,https://dtf.ru/sale/75796-v-epic-games-store-nachalas-razdacha-alan-wake-s-american-nightmare-i-observer
NA,NA,NA,NA,NA,NA,NA,w: Hardcoded Anomaly,21-28 May 2020,Civilization VI,2020,https://ru.wikipedia.org/wiki/Civilization_VI,https://games.mail.ru/pc/news/2020-05-21/v-egs-nachalas-besplatnaya-razdacha-strategii-civilization-6/
NA,NA,NA,NA,NA,NA,NA,w: Hardcoded Anomaly,27 August - 3 September 2020,Hitman,2020,"https://ru.wikipedia.org/wiki/Hitman_(игра,_2016)",https://dtf.ru/sale/195782-v-epic-games-store-nachalas-razdacha-hitman-i-shadowrun-collection
NA,NA,NA,NA,NA,NA,NA,w: Hardcoded Anomaly,8-15 April 2021,3 out of 10: Season Two,2021,https://ru.wikipedia.org/wiki/3_out_of_10:_Season_Two?action=edit&redlink=1,https://www.igromania.ru/news/104016/V_Epic_Games_Store_besplatno_otdayut_3_out_of_10_a_cherez_nedelyu_budut_srazu_3_proekta.html
NA,NA,NA,NA,NA,NA,NA,w: Hardcoded Anomaly,26 October - 2 November 2023,"data-sort-value=""Evil Within, The 2""| The Evil Within 2",2023,https://ru.wikipedia.org/wiki/The_Evil_Within_2,https://www.igromania.ru/news/131980/v-egs-nachali-razdavat-horror-the-evil-within-2-avtora-resident-evil/
NA,NA,NA,NA,NA,NA,NA,w: Hardcoded Anomaly,3-10 April 2025,Cat Quest II,2025,https://ru.wikipedia.org/wiki/Cat_Quest_II?action=edit&redlink=1,https://dtf.ru/games/3680135-razdacha-cat-quest-ii-v-egs
