daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
25 December 2024,Control,2024,https://vgtimes.ru/news/117848-v-egs-nachalas-vosmaya-prazdnichnaya-razdacha.html,https://en.wikipedia.org/wiki/Control,,,,,,,,,,,,,,,
26 December 2024,Ghostrunner 2,2024,https://3dnews.ru/1115989/kiberpankoviy-slesher-ghostrunner-2-stal-novoy-besplatnoy-igroy-v-epic-games-store-razdacha-dostupna-v-rossii-i-prodlitsya-vsego-24-chasa,https://en.wikipedia.org/wiki/Ghostrunner_2,One More Level,505 Games,26 October 2023,,Unreal Engine 4,Radosław Ratusznik,Wojciech Wilk,,,Lukasz Wabik,,Grzegorz Greger,Single-player,"Ghostrunner 2 is an action platform video game developed by One More Level and published by 505 Games. A sequel to Ghostrunner (2020), the game was released for PlayStation 5, Windows, and Xbox Series X/S on 26 October 2023. Upon release, it received positive reviews from critics.",
27 December 2024,Hot Wheels Unleashed,2024,https://dtf.ru/games/3330115-v-epic-games-store-startovala-razdacha-gonochnoi-arkady-hot-wheels-unleashed,https://en.wikipedia.org/wiki/Hot_Wheels_Unleashed,Milestone,Milestone,"NS, PS4, PS5, Windows, Xbox One, Xbox Series X/SSeptember 30, 2021Amazon LunaJuly 21, 2022StadiaSeptember 29, 2022",Racing,Unreal Engine 4,,,,,Federico Cardini,,,,"Hot Wheels Unleashed is a 2021 racing game developed and published by Milestone based on Mattel's Hot Wheels toyline. The game was released on September 30, 2021, for the Nintendo Switch, PlayStation 4, PlayStation 5, Windows, Xbox One, and Xbox Series X/S. Versions for Amazon Luna and Stadia were made available in July and September 2022, respectively. A sequel, Hot Wheels Unleashed 2: Turbocharged, was released in October 2023.",
28 December 2024,Kill Knight,2024,https://dtf.ru/games/3333148-v-egs-startovala-razdacha-izometricheskogo-ekshena-kill-knight,,,,,,,,,,,,,,,,
29 December 2024,Orcs Must Die! 3,2024,https://dtf.ru/games/3337721-orcs-must-die-3-stala-12-igroi-na-prazdnichnoi-razdache-v-egs,https://en.wikipedia.org/wiki/Orcs_Must_Die%21_3,Robot Entertainment,Robot Entertainment,"StadiaJuly 14, 2020Windows, PS4, Xbox One, Xbox Series X/SJuly 23, 2021PlayStation 5June 9, 2022",,Unreal Engine 4,,,,,,,,,"Orcs Must Die! 3 is an action-tower defense video game developed and published by Robot Entertainment. It is the fourth installment in the Orcs Must Die! series, and the direct sequel to Orcs Must Die! 2. It was released as a timed exclusive on Stadia on July 14, 2020, and for Windows, PlayStation 4, Xbox One and Xbox Series X/S on July 23, 2021.",
30 December 2024,,2024,https://ixbt.games/news/2024/12/30/v-egs-razdayut-novuyu-igru-ot-sozdatelei-the-callisto-protocol-vypushhennuyu-2-mesyaca-nazad.html,,,,,,,,,,,,,,,,
31 December 2024,Sifu,2024,https://vgtimes.ru/news/118090-v-egs-nachalas-chetyrnadcataya-prazdnichnaya-razdacha.-daryat-sifu.html,https://en.wikipedia.org/wiki/Sifu,,,,,,,,,,,,,,"Shifu is a Chinese cultural term. Although its pronunciation always sounds the same, there are two ways of writing it using Chinese characters, and they bear two different meanings. The first variation, Shīfù 師傅 ('Expert Instructor'), is used as an honorific, which is applied to various professionals in everyday life.","The second variation, Shīfu 師父 ('Father-Teacher'), is an honorific usually reserved as a title to describe teachers of self and spiritual cultivation practices including those who might teach other encompassing Chinese traditions, such as martial arts, painting, sculpting, feng shui, singing, etc. While in China both variations are commonly used, in English-speaking countries people are mostly familiar with the second way of writing, in the context of the martial art traditions.

In the second inflection, Shifu has a deeper meaning than just a teacher, but a teacher who gives the utmost care for their pupils, as would a father or mother. The martial arts honorific is also commonly Romanized as Sifu (from Cantonese Chinese) or Saihu (from Hokkien Chinese)."
1 January 2025,Kingdom Come: Deliverance,2025,https://dtf.ru/games/3344914-v-egs-nachalas-razdacha-kingdom-come-deliverance,https://en.wikipedia.org/wiki/Kingdom_Come%3A_Deliverance,Warhorse Studios,Deep Silver,"Microsoft Windows, PlayStation 4, Xbox One13 February 2018Nintendo Switch15 March 2024PlayStation 5, Xbox Series X/S13 February 2026",Action role-playing,CryEngine,Daniel Vávra,Mikuláš Podprocký,,,Viktor Bocan,Daniel Vávra,Tomáš Blaho,Single-player,"Kingdom Come: Deliverance is a 2018 action role-playing video game developed by Warhorse Studios and published by Deep Silver. The game is set in the medieval Kingdom of Bohemia, an Imperial State of the Holy Roman Empire, and takes place during a war in Bohemia in 1403, during the time of King Wenceslaus IV. After mercenaries raid his village, commoner Henry joins the service of Lord Radzig Kobyla, who leads a resistance movement against the invading Hungarian king Sigismund. As Henry pursues justice, he becomes involved in an effort to restore Wenceslaus to the throne. The game features branching quest lines in an open world environment, and focuses on period-accurate content.","Kingdom Come: Deliverance was released for PlayStation 4, Windows, and Xbox One on 13 February 2018, on 15 March 2024 for Nintendo Switch, and on 13 February 2026 for PlayStation 5 and Xbox Series X/S. The game received generally positive reviews for PC, and mixed reviews for consoles; critics praised the story and characters, but were divided over its attention to detail and focus on realism, and criticized its technical bugs and save system. Some commentators, historians, and scholars criticized the game's portrayal of some ethnic groups, as well as the game's lack of racial diversity. It sold over 10 million units by May 2025. A sequel, Kingdom Come: Deliverance II, was released in February 2025."
2-9 January 2025,Hell Let Loose,2025,https://www.playground.ru/hell_let_loose/news/hell_let_loose_mozhet_stat_poslednej_besplatnoj_igroj_v_prazdnichnoj_razdache_epic_games_store-1744115,https://en.wikipedia.org/wiki/Hell_Let_Loose,,Team17,"WindowsJuly 27, 2021PS5, Xbox Series X/SOctober 5, 2021",,Unreal Engine 4,,,,,,,,Multiplayer,"Hell Let Loose is a 2021 multiplayer tactical first-person shooter developed by Expression Games and Cover 6 Studios, and published by Team17. Players fight in iconic battles of the Western, North African and Eastern Fronts of World War II at the platoon level.","The game was created and developed by Australian studio Black Matter, led by Maximilian Rea, who first announced it via a successful Kickstarter campaign in 2017 that raised a total of US$220,000. It was initially released for Microsoft Windows as an early access title on 6 June 2019, and fully released two years later in July 2021. It was later released for PlayStation 5 and Xbox Series X/S on 5 October 2021. In January 2022, Black Matter sold the game to its publisher Team17 for £31 million with the potential addition of £15 million based on the game's performance. Development was handed to Team17 shortly after December 2022, who then founded Cover 6 Studios in the beginning months of 2023 to work on development and potentially on the next game in the series. In April 2023, Team17 contracted the UK studio Expression Games to also continue development of the game.

On 20 August 2025, a new Hell Let Loose title was announced. Titled Hell Let Loose: Vietnam, the game is set during the Vietnam War, with two primary factions―the North Vietnamese and American―fighting in the Vietnam War between 1965 and 1973."
9-16 January 2025,Turmoil,2025,https://www.igromania.ru/news/146239/v-epic-games-store-stali-besplatno-otdavat-strategiyu-turmoil-pro-burenie-skvazhin/,https://en.wikipedia.org/wiki/Turmoil,,,,,,,,,,,,,,Turmoil may refer to:,
16-23 January 2025,Escape Academy,2025,https://www.igromania.ru/news/146515/v-epic-games-store-stali-besplatno-otdavat-kooperativnuyu-golovolomku-escape-academy/,https://en.wikipedia.org/wiki/Escape_Academy,Coin Crew Games,,"Playstation 4, Playstation 5, Windows, Xbox One, Xbox Series XJuly 14, 2022Nintendo SwitchSeptember 12, 2023",,,,,doseone,,,,,,"Escape Academy is a 2022 puzzle video game developed by Coin Crew Games and published by iam8bit and Skybound Games. It was released for Windows, PlayStation 4, PlayStation 5, Xbox One and Xbox Series X/S on July 14, 2022, to a generally positive reception.",
23-30 January 2025,Behind the Frame: Живые полотна,2025,https://www.igromania.ru/news/146771/v-epic-games-store-stali-besplatno-otdavat-atmosfernuyu-istoriyu-behind-the-frame/,,,,,,,,,,,,,,,,
30 January - 6 February 2025,Undying,2025,https://www.igromania.ru/news/147045/v-epic-games-store-stali-besplatno-otdavat-trogatelnuyu-zombi-istoriyu-undying/,https://en.wikipedia.org/wiki/Undying,,,,,,,,,,,,,,Undying can refer to:,
6-13 February 2025,Beyond Blue,2025,https://www.igromania.ru/news/147343/v-epic-games-store-stali-besplatno-otdavat-morskoe-priklyuchenie-beyond-blue/,https://en.wikipedia.org/wiki/Beyond_Blue,,,,,,,,,,,,,,"Beyond Blue is an Australian mental health and wellbeing support organisation. They provide support programs to address issues related to depression, suicide, anxiety disorders and other related mental illnesses.","The organisation works in partnership with governments, local health services, educational institutions, workplaces, media and community organisations, as well as the general community to raise community awareness about anxiety and depression and reduce the associated stigma. Beyond Blue was founded in 2000 by former premier of Victoria, Jeff Kennett. It is currently chaired by Linda Dessau, former Governor of Victoria. Dessau is supported by CEO Georgie Harman, and Interim Chair Kate Carnell."
13-20 February 2025,F1 Manager 2024,2025,https://www.igromania.ru/news/147623/v-egs-stali-besplatno-otdavat-f1-manager-2024-i-podaryat-world-war-z-aftermath/,https://en.wikipedia.org/wiki/F1_Manager_2024,Frontier Developments,Frontier Developments,WW: 23 July 2024,Sports management,Unreal Engine 5,,,Brian Tyler,,,,,Single-player,"F1 Manager 2024 is a sports management game, developed and published by Frontier Developments. It is the official racing management simulation game of the 2024 Formula One World Championship, the third and final installment in Frontier Developments' F1 Manager series. The game was released for Nintendo Switch, PlayStation 4, PlayStation 5, Windows, Xbox One and Xbox Series X/S on 23 July 2024.",
