daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
14-27 December 2018,Subnautica,2019,https://www.polygon.com/2018/12/7/18130542/epic-games-store-free-games,https://en.wikipedia.org/wiki/Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"macOS, WindowsJanuary 23, 2018PS4, Xbox OneDecember 4, 2018NS, PS5, Series X/SMay 14, 2021iOS, AndroidJuly 8, 2025Nintendo Switch 2February 172026",,Unity,Charlie Cleveland,,Simon Chylinski,,Charlie Cleveland,Tom Jubert,,Single-player,"Subnautica is a 2018 action-adventure survival game developed and published by Unknown Worlds Entertainment. The player controls Ryley Robinson, a survivor of a spaceship crash on an alien oceanic planet, which they are free to explore. The main objectives are to find essential resources, survive the local flora and fauna, and find a way to escape the planet.","Subnautica was released in early access for Windows in December 2014, macOS in June 2015, and Xbox One in May 2016. The game was released out of early access in January 2018 for macOS and Windows, with versions for PlayStation 4 and Xbox One in December 2018. The physical console versions were published by Gearbox Publishing. The Nintendo Switch, PlayStation 5, and Xbox Series X/S versions were released in May 2021, A Nintendo Switch 2 version was released in February 2026. It received generally positive reviews from critics and sold over 5 million copies by January 2020.

A spin-off, Subnautica: Below Zero, which was originally meant to be downloadable content for the base game, was released in May 2021. A direct sequel, Subnautica 2, is planned to be released in early access sometime in 2026."
28 December 2018-10 January 2019,Super Meat Boy,2019,https://www.igromania.ru/news/79692/V_Epic_Games_Store_nachalas_razdacha_Super_Meat_Boy.html,https://en.wikipedia.org/wiki/Super_Meat_Boy,Team Meat,Team Meat,"October 20, 2010,  Xbox 360WW: October 20, 2010,  WindowsWW: November 30, 2010,  OS XWW: November 18, 2011,  LinuxWW: December 13, 2011,  PlayStation 4, PlayStation VitaWW: October 6, 2015,  Wii UWW: May 12, 2016,  SwitchWW: January 11, 2018",Platform,Tommunism Engine,,Edmund McMillen,Danny Baranowsky,,,,Tommy Refenes,Single-player,,
10-24 January 2019,What Remains of Edith Finch,2019,https://www.polygon.com/2019/1/10/18177082/what-remains-of-edith-finch-epic-games-store-free-giveaways/,https://en.wikipedia.org/wiki/What_Remains_of_Edith_Finch,Giant Sparrow,Annapurna Interactive,"PlayStation 4, WindowsApril 25, 2017Xbox OneJuly 19, 2017Nintendo SwitchJuly 4, 2019iOSAugust 16, 2021PS5, Xbox Series X/SJuly 28, 2022",Exploration,Unreal Engine 4,Ian Dallas,Brandon Martynowicz,Jeff Russo,,Chris Bell,Ian Dallas,Joshua Sarfaty,Single-player,"What Remains of Edith Finch is a first-person exploration video game developed by Giant Sparrow and published by Annapurna Interactive. The game was released in 2017 for PlayStation 4, Windows, and Xbox One; for Nintendo Switch in 2019; for iOS in 2021; and for PlayStation 5 and Xbox Series X/S in 2022.","The story follows the seventeen-year-old Edith Finch, the last surviving member of her family, as she returns to her ancestral home for the first time in seven years. Reexploring the house, she uncovers her family's mysterious past and learns about the series of deaths that eventually caused the complete collapse of her family structure. The game is presented as an interconnected anthology. The story utilizes unique media from multiple perspectives and is told through a series of vignettes; however, the player is made to doubt the authenticity of each story being told. The magical realist story touches on themes of free will, fate, memory, and death.

What Remains of Edith Finch received critical acclaim, receiving praise for its immersive storytelling, characters, and presentation; and is considered an example of video games as an art form. Among other awards and nominations, it won the British Academy Games Award for Best Game 2017 and the Best Narrative category at both The Game Awards 2017 and the 2018 Game Developers Choice Awards."
24 January - 7 February 2019,The Jackbox Party Pack,2019,https://www.pcgamer.com/the-jackbox-party-pack-is-the-next-free-game-from-the-epic-games-store/,https://en.wikipedia.org/wiki/The_Jackbox_Party_Pack,Jackbox Games,,,Party,,,,,,,,,,"The Jackbox Party Pack is a series of party video games developed by Jackbox Games for many different platforms on a near-annual release schedule since 2014. Each installment contains five games that are designed to be played in groups of varying sizes, including in conjunction with streaming services like Twitch which provide means for audiences to participate.",
7-21 February 2019,Axiom Verge,2019,https://www.rockpapershotgun.com/axiom-verge-free-download,https://en.wikipedia.org/wiki/Axiom_Verge,Thomas Happ Games,Thomas Happ Games,"PlayStation 4NA: March 31, 2015PAL: April 20, 2015Linux, OS X, WindowsWW: May 14, 2015PlayStation VitaNA: April 19, 2016PAL: April 20, 2016Wii UWW: September 1, 2016Xbox OneWW: September 30, 2016Nintendo SwitchWW: October 5, 2017",Metroidvania,Microsoft XNA (Windows) / MonoGame (non-Windows platforms),,,Thomas Happ,,,,,Single-player,"Axiom Verge is a metroidvania video game by American indie developer Thomas Happ. The game was originally released in March 2015 in North America and April 2015 in Europe and Australia for PlayStation 4. It was released in May 2015 for Linux, OS X, and Windows. A PlayStation Vita version was released in April 2016. The Wii U and Xbox One versions were released in North America and Europe in September 2016. A Nintendo Switch version was released in October 2017.","A sequel, Axiom Verge 2, was released in 2021."
21 February - 7 March 2019,Thimbleweed Park,2019,https://www.pcgamer.com/thimbleweed-park-is-free-on-the-epic-games-store/,https://en.wikipedia.org/wiki/Thimbleweed_Park,Terrible Toybox,Terrible Toybox,"March 30, 2017, Linux, macOS, Windows, Xbox OneMarch 30, 2017PlayStation 4August 22, 2017iOSSeptember 19, 2017Nintendo SwitchSeptember 21, 2017AndroidOctober 3, 2017Amazon LunaDecember 17, 2020",Point-and-click adventure,,,,Steve Kirk,,,,,Single-player,"Thimbleweed Park is a point-and-click adventure game developed and published by Terrible Toybox for Linux, macOS, Windows, Xbox One, PlayStation 4, iOS, Nintendo Switch, Android, and Amazon Luna. The game was revealed on November 18, 2014, along with a Kickstarter crowd-funding campaign with a goal of US$375,000, and was released on March 30, 2017.","The game is a spiritual successor to lead designers Ron Gilbert and Gary Winnick's previous games Maniac Mansion (1987) and The Secret of Monkey Island (1990), and is designed to be similar to graphic adventure games released in that time period, both visually and in gameplay. The game itself contains numerous oblique references to events and characters from Maniac Mansion and Zak McKracken, loosely suggesting these games to be set in a shared setting."
7-21 March 2019,Slime Rancher,2019,https://www.pcgamer.com/slime-rancher-is-now-free-on-the-epic-games-store/,https://en.wikipedia.org/wiki/Slime_Rancher,Monomi Park,,"PC, Xbox OneAugust 2, 2017PlayStation 4August 22, 2018Nintendo SwitchAugust 12, 2021",Farm life sim,Unity,Nick Popovich,,Harry Mack,,Chris Lum,,,Single-player,"Slime Rancher is a farm life sim video game developed and published by American indie studio Monomi Park. The game was released as an early access title in January 2016, with an official release on Windows, macOS, Linux and Xbox One on August 2, 2017. A PlayStation 4 version was released on August 22, 2018, and a Nintendo Switch version was released on August 12, 2021. A DLC named Secret Style Pack' was released on June 19, 2019 which added additional cosmetic appearances. A sequel, Slime Rancher 2, was released in early access on September 23, 2022, for Windows and Xbox Series X/S and was officially released on 23 September 2025. A feature film adaptation is in development.",
21 March - 4 April 2019,Oxenfree,2019,https://www.pcgamer.com/oxenfree-will-be-the-next-free-game-on-the-epic-games-store/,https://en.wikipedia.org/wiki/Oxenfree,Night School Studio,Night School Studio,"January 15, 2016, OS X, Windows,  Xbox OneJanuary 15, 2016PlayStation 4May 31, 2016LinuxJune 1, 2016iOSMarch 16, 2017AndroidJune 29, 2017Nintendo SwitchOctober 6, 2017",Graphic adventure,Unity,,Heather Gross,Andrew Rohrmann,,,Adam Hines,Bryant Cannon,Single-player,,
4-18 April 2019,The Witness,2019,https://www.polygon.com/2019/4/4/18295400/the-witness-free-pc-epic-games-store/,https://en.wikipedia.org/wiki/The_Witness,,,,,,,,,,,,,,"A witness is someone who has first-hand knowledge of something, such as a crime or wedding, and usually by seeing it.",Witness or The witness may also refer to:
18 April - 2 May 2019,Transistor,2019,https://www.rockpapershotgun.com/transistor-is-free-to-keep-on-epic-for-the-next-two-weeks,https://en.wikipedia.org/wiki/Transistor,,,,,,,,,,,,,,"A transistor is a semiconductor device used to amplify or switch electrical signals and power. It is one of the basic building blocks of modern electronics. It is composed of semiconductor material, usually with at least three terminals for connection to an electronic circuit. A voltage or current applied to one pair of the transistor's terminals controls the current through another pair of terminals. Because the controlled (output) power can be higher than the controlling (input) power, a transistor can amplify a signal. Some transistors are packaged individually, but many more in miniature form are found embedded in integrated circuits. Because transistors are the key active components in practically all modern electronics, many people consider them one of the 20th century's greatest inventions.","Physicist Julius Edgar Lilienfeld proposed the concept of a field-effect transistor (FET) in 1925, but it was not possible to construct a working device at that time. The first working device was a point-contact transistor invented in 1947 by physicists John Bardeen, Walter Brattain, and William Shockley at Bell Labs who shared the 1956 Nobel Prize in Physics for their achievement. The most widely used type of transistor, the metal–oxide–semiconductor field-effect transistor (MOSFET), was invented at Bell Labs between 1955 and 1960. Transistors revolutionized the field of electronics and paved the way for smaller and cheaper radios, calculators, computers, and other electronic devices.

Most transistors are made from very pure silicon, and some from germanium, but certain other semiconductor materials are sometimes used. A transistor may have only one kind of charge carrier in a field-effect transistor, or may have two kinds of charge carriers in bipolar junction transistor devices. Compared with the vacuum tube, transistors are generally smaller and require less power to operate. Certain vacuum tubes have advantages over transistors at very high operating frequencies or high operating voltages, such as traveling-wave tubes and gyrotrons. Many types of transistors are made to standardized specifications by multiple manufacturers."
2-16 May 2019,World of Goo,2019,https://dtf.ru/sale/48858-v-epic-games-store-nachalas-razdacha-world-of-goo,https://en.wikipedia.org/wiki/World_of_Goo,2D Boy,,"October 13, 2008,  WiiNA: October 13, 2008EU: December 19, 2008JP: April 21, 2009,  Microsoft WindowsNA: October 13, 2008PAL: December 12, 2008,  OS XWW: November 2, 2008,  LinuxWW: February 12, 2009,  iOSWW: December 16, 2010,  AndroidWW: November 28, 2011,  BlackBerry OSWW: January 21, 2013,  Nintendo SwitchNA: March 16, 2017PAL: March 23, 2017JP: May 25, 2017",Puzzle,,,Kyle Gabler,Kyle Gabler,,Kyle Gabler,Kyle Gabler,,,"World of Goo is a physics-based puzzle video game developed and published by independent game developer 2D Boy. The game was released on Microsoft Windows and Wii  on October 13, 2008, with releases on Nintendo Switch, Mac OS X, Linux, and various mobile devices in subsequent years. World of Goo has the player use small balls of goo to create bridges and similar structures over chasms and obstacles to help other goo balls reach a goal point, with the challenge to use as few goo balls as possible to build this structure.","The game was nominated for numerous awards—the Seumas McNally Grand Prize, Design Innovation Award, and Technical Excellence—at the Independent Games Festival, and has gone on to win several other gaming awards, such as Outstanding Achievement in Game Design at the 12th Annual Interactive Achievement Awards. The game was critically acclaimed and became one of the earliest examples of a commercially successful indie game.

A sequel, World of Goo 2, was released on August 2, 2024, in collaboration with Tomorrow Corporation."
16-30 May 2019,Stories Untold,2019,https://www.igromania.ru/news/82907/Sleduyuschey_besplatnoy_igroy_v_Epic_Games_Store_stanet_RiME.html,https://en.wikipedia.org/wiki/Stories_Untold,,,,,,,,,,,,,,Stories Untold may refer to:,
23-30 May 2019,Rime,2019,https://www.dualshockers.com/epic-games-store-rime-city-of-brass-free/,https://en.wikipedia.org/wiki/Rime,,,,,,,,,,,,,,Rime may refer to:,"Rime is also an alternative spelling of ""rhyme"" as a noun:"
30 May - 6 June 2019,City of Brass,2019,https://www.igromania.ru/news/83240/V_Epic_Games_Store_nachalas_besplatnaya_razdacha_City_of_Brass.html,https://en.wikipedia.org/wiki/City_of_Brass,,,,,,,,,,,,,,City of Brass may refer to:,
6-13 June 2019,Kingdom: New Lands,2019,https://dtf.ru/sale/53316-v-epic-games-store-nachalas-razdacha-kingdom-new-lands,https://en.wikipedia.org/wiki/Kingdom%3A_New_Lands,,Raw Fury,"Windows, macOS, Xbox One9 August 2016iOS10 March 2017Android11 March 2017Switch14 September 2017PS416 January 2018",,,,,,,,,,Single-player,"Kingdom: New Lands is a 2016 strategy game developed by Amsterdam-based Noio and Iceland-based Licorice and published by Raw Fury. It was released on 9 August 2016 for Windows, macOS, and Xbox One. A follow-up of the 2015 video game Kingdom, players take control of a mounted monarch as they build and defend their kingdom from monsters called the Greed. The monarch can recruit subjects such as builders and archers to fortify their base, while progressing towards their goal of ruling over five islands. New Lands was a free update for owners of the original version. Versions for iOS and Android were released in March 2017, and for Nintendo Switch in September 2017, followed by PlayStation 4 on 16 January 2018. The game received mixed to generally positive reviews on release.",
13-20 June 2019,Enter the Gungeon,2019,https://dtf.ru/sale/54335-v-epic-games-store-nachalas-razdacha-enter-the-gungeon,https://en.wikipedia.org/wiki/Enter_the_Gungeon,Dodge Roll,Devolver Digital,"Linux, macOS, PS4, WindowsApril 5, 2016Xbox OneApril 5, 2017SwitchDecember 14, 2017StadiaDecember 22, 2020Android, iOSAugust 2025",,Unity,,Joe Harty,Doseone,,Dave Crooks,,,,,
20-27 June 2019,Rebel Galaxy,2019,https://www.igromania.ru/news/83718/Last_Day_of_June-sleduyuschaya_besplatnaya_igra_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Rebel_Galaxy,Double Damage Games,Double Damage Games,"Microsoft Windows, OS XOctober 20, 2015PlayStation 4January 5, 2016Xbox OneJanuary 13, 2016",Space flight simulator,OGRE,,,,,,,,Single-player,"Rebel Galaxy is a space trading and combat simulation game developed and published by Double Damage Games. It was released for Microsoft Windows and OS X on October 20, 2015. Xbox One and PlayStation 4 versions were released in January 2016.","A prequel to the game, Rebel Galaxy Outlaw, was released for Microsoft Windows on 13 August 2019 and later for the Nintendo Switch, PlayStation 4, Xbox One on 22 September 2020."
27 June - 4 July 2019,Last Day of June,2019,https://dtf.ru/sale/56456-v-epic-games-store-nachalas-razdacha-last-day-of-june,https://en.wikipedia.org/wiki/Last_Day_of_June,Ovosonico,505 Games,"PlayStation 4, Windows31 August 2017Nintendo Switch16 March 2018",,Unity,Massimo Guarini,Francesco Abbonizio,Steven Wilson,,Mattia Traverso,,Briano Casotto,Single-player,"Last Day of June is an adventure puzzle video game developed by Ovosonico and published by 505 Games. It is based on Steven Wilson's song Drive Home. The game was released for the PlayStation 4 and Windows in August 2017, and ported for the Nintendo Switch in March 2018.",
4-11 July 2019,Overcooked,2019,https://dtf.ru/sale/143495-v-epic-games-store-nachalas-razdacha-overcooked,https://en.wikipedia.org/wiki/Overcooked,Ghost Town Games,Team17,"PlayStation 4, Windows, Xbox OneWW: 2 August 2016Nintendo SwitchWW: 27 July 2017Xbox Series X/SWW: 10 November 2020PlayStation 5NA/OC: 12 November 2020WW: 19 November 2020StadiaWW: 5 May 2022",Simulation,Unity,,,,,,,,,"Overcooked is a 2016 cooking simulation game developed by Ghost Town Games and published by Team17. In a local cooperative experience, players control a number of chefs in kitchens filled with various obstacles and hazards to rapidly prepare meals to specific orders under a time limit. The game was released for PlayStation 4, Windows, and Xbox One in August 2016. A Nintendo Switch version was released in July 2017.","Overcooked was nominated for four awards at the 13th British Academy Games Awards, eventually winning two for Best British Game and Best Family Game. A sequel, Overcooked 2, was released in August 2018. A remastered version bundled with the sequel, subtitled All You Can Eat, was first released as a launch title for both the Xbox Series X and PlayStation 5 in November 2020.

On November 5, 2025, Netflix announced that a reality TV series based on the game is in production. The series is being worked on by A24 and several of the game's developers."
11-18 July 2019,Torchlight,2019,https://www.igromania.ru/news/84305/V_Epic_Games_Store_mozhno_besplatno_zabrat_Torchlight_a_cherez_nedelyu-Limbo.html,https://en.wikipedia.org/wiki/Torchlight,Runic Games,,"WindowsWW: October 27, 2009OS XWW: May 12, 2010Xbox 360WW: March 9, 2011LinuxWW: September 18, 2012",,OGRE,,,Matt Uelmen,,Travis Baldree,,,Single-player,"Torchlight is an action role-playing hack and slash dungeon crawler video game developed by Runic Games and published by Perfect World Entertainment. It was originally released for Windows in October 2009. The fantasy-themed game is set in the fictional town of Torchlight and the expansive caverns and dungeons nearby, which adventurers explore to collect valuable loot and battle hordes of monsters. Following the October 2009 digital distribution release, a Windows retail box version was released in the U.S. in January 2010 by Encore, Inc, and JoWooD Entertainment published a retail box in Europe in April 2010. A port for OS X was developed by World Domination Industries and released through Steam on May 12, 2010. Runic Games and World Domination Industries developed a port for Xbox Live Arcade which was released on March 9, 2011. A Linux port was released as part of the game's inclusion in the Humble Indie Bundle 6.","Development of the game was led by Travis Baldree, designer of Fate, joined by Max Schaefer and Erich Schaefer (co-designers of Diablo and Diablo II), and the team that worked with Baldree on the original incarnation of Mythos. In September 2012, Runic Games released a sequel, Torchlight II, for Windows. In 2018, the long-planned MMORPG was announced as Torchlight III."
18-25 July 2019,Limbo,2019,https://dtf.ru/sale/59914-v-epic-games-store-nachalas-razdacha-limbo-igru-mozhno-zabrat-do-25-iyulya,https://en.wikipedia.org/wiki/Limbo,,,,,,,,,,,,,,,
25 July - 2 August 2019,This War of Mine,2019,https://www.vg247.com/moonlighter-war-mine-free-epic-games-store-for-honor-alan-wake,https://en.wikipedia.org/wiki/This_War_of_Mine,11 bit studios,11 bit studios,"November 14, 2014, , Windows, OS X, LinuxWW: November 14, 2014, AndroidWW: July 14, 2015, iOSWW: July 15, 2015The Little OnesPS4, Xbox OneWW: January 29, 2016, WindowsWW: June 1, 2016Complete EditionNintendo SwitchWW: November 27, 2018Final CutWindowsWW: November 14, 2019PS5, Xbox Series X/SWW: May 10, 2022",Survival,,,Dominik Zieliński,,,Rafał Włosek,Based on inspiring idea of Grzegorz Miechowski,Grzegorz Mazur,Single-player,"This War of Mine is a 2014 war survival video game developed and published by Polish developer 11 Bit Studios. The game, inspired by the siege of Sarajevo among other conflicts, differs from most war-themed video games by focusing on the civilian experience of war rather than frontline combat. Characters have to make many difficult decisions in order to survive everyday dangers. There are various endings for each character, depending on the decisions made in the game. The game has received multiple DLCs and sold over 9 million units worldwide across multiple platforms.",
2-9 August 2019,Alan Wake,2019,https://dtf.ru/sale/62134-v-epic-games-store-nachalas-razdacha-for-honor-i-alan-wake,https://en.wikipedia.org/wiki/Alan_Wake,Remedy Entertainment,Microsoft Game Studios,"14 May 2010,  Xbox 360,  EU: 14 May 2010NA: 18 May 2010AU: 20 May 2010,  Windows,  NA: 16 February 2012AU: 16 February 2012EU: 2 March 2012,  Remastered,  PS4, PS5, Windows, Xbox One, Xbox Series X/S,  WW: 5 October 2021,  Nintendo Switch,  WW: 20 October 2022",,,Markus Mäki,Saku Lehtinen,Petri Alanko,,Mikael Kasurinen,,Olli Tervo,Single-player,"Alan Wake is a 2010 action-adventure game developed by Remedy Entertainment and published by Microsoft Game Studios. The game was released in May 2010 for the Xbox 360, with a Windows version following in February 2012 and a remastered version released for PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, and Windows in October 2021, as well as a Nintendo Switch version in October 2022. The story follows bestselling crime thriller novelist Alan Wake as he tries to uncover the mystery behind his wife's disappearance during a vacation in the small fictional town of Bright Falls, Washington, all while experiencing events from the plot of his latest novel, which he cannot remember writing, coming to life.","In its pacing and structure, Alan Wake is similar to a thriller television series, with episodes that contain plot twists and cliffhangers. The game consists of six episodes, and the storyline continues in two special episodes, The Signal and The Writer, that were made available as downloadable content (DLC) in the year of the game's release. Additionally, a six-episode live-action web series called Bright Falls acts as a prequel to the game, and a number of related books also expand upon the Alan Wake story.

Written by Sam Lake and Mikko Rautalahti, Alan Wake took over five years to create. The game was originally developed as an open-world survival game as an antithesis to Remedy's prior linear Max Payne games, but the team struggled over three years to merge the gameplay with an action-thriller story. In two months, the team reworked the game into a more traditional linear game with an episodic approach that better supported the planned narrative structure, and which allowed the team to reuse previously created open-world assets."
8-15 August 2019,Gnog,2019,https://www.pcgamer.com/gnog-is-free-on-the-epic-games-store-and-free-alan-wake-and-for-honor-are-still-available-for-now/,https://en.wikipedia.org/wiki/Gnog,KO_OP,Double Fine Presents,"PlayStation 4May 2, 2017iOSNovember 28, 2017Microsoft Windows, macOSJuly 17, 2018",Puzzle,,,,,,,,,Single-player,"Gnog (stylized in all caps) is a 2017 puzzle video game developed by KO_OP and published by Double Fine Presents. It was released for PlayStation 4, iOS, Microsoft Windows, and macOS.",
15-22 August 2019,Mutant Year Zero: Road to Eden,2019,https://dtf.ru/sale/64073-v-epic-games-store-nachalas-razdacha-mutant-year-zero-road-to-eden-i-hyper-light-drifter,https://en.wikipedia.org/wiki/Mutant_Year_Zero%3A_Road_to_Eden,The Bearded Ladies,Funcom,"PlayStation 4, Windows, Xbox OneDecember 4, 2018Nintendo SwitchJuly 30, 2019",,Unreal Engine 4,David Skarin,,Robert Lundgren,,Lee Varley,,,Single-player,"Mutant Year Zero: Road to Eden is a turn-based tactical role-playing video game developed by Swedish studio The Bearded Ladies and published by Funcom. Based on the tabletop role-playing game Mutant Year Zero, the game was released for Windows, PlayStation 4 and Xbox One in December 2018. A Nintendo Switch version of the game was released on July 30, 2019.",
22-29 August 2019,Fez,2019,https://dtf.ru/sale/65445-s-29-avgusta-v-epic-games-store-budut-razdavat-inside-i-celeste,https://en.wikipedia.org/wiki/Fez,,,,,,,,,,,,,,Fez most often refers to:,Fez or FEZ may also refer to:
29 August - 5 September 2019,Inside,2019,https://www.igromania.ru/news/85738/V_Epic_Games_Store_razdayut_Inside_i_Celeste_a_cherez_nedelyu_otdadut_The_End_is_Nigh_i_Abzu.html,https://en.wikipedia.org/wiki/Inside,,,,,,,,,,,,,,,
5-12 September 2019,Abzû,2019,https://www.igromania.ru/news/85961/V_Epic_Games_Store_besplatno_razdayut_The_End_Is_Nigh_i_Abzu.html,https://en.wikipedia.org/wiki/Abz%C3%BB,Giant Squid,505 Games,"PlayStation 4, WindowsAugust 2, 2016Xbox OneDecember 6, 2016Nintendo SwitchNovember 29, 2018Amazon LunaOctober 20, 2020",,Unreal Engine 4,Matt Nava,Matt Nava,Austin Wintory,,,,Brian Balamut,Single-player,,
12-19 September 2019,Conarium,2019,https://dtf.ru/sale/69374-v-egs-nachalas-razdacha-conarium-a-sleduyushchim-na-ocheredi-stal-sbornik-igr-pro-betmena,https://en.wikipedia.org/wiki/Conarium,,,,,,,,,,,,,,"The pineal gland (also known as the pineal body or epiphysis cerebri) is a small endocrine gland in the brain of most vertebrates. It produces melatonin, a serotonin-derived hormone, which modulates sleep patterns following the diurnal cycles. The shape of the gland resembles a pine cone, which gives it its name. The pineal gland is located in the epithalamus, near the center of the brain, between the two hemispheres, tucked in a groove where the two halves of the thalamus join. It is one of the neuroendocrine secretory circumventricular organs in which capillaries are mostly permeable to solutes in the blood.","The pineal gland is present in almost all vertebrates, but is absent in protochordates, in which there is a simple pineal homologue. The hagfish, archaic vertebrates, lack a pineal gland. In some species of amphibians and reptiles, the gland is linked to a light-sensing organ, variously called the parietal eye, the pineal eye or the third eye. Reconstruction of the biological evolution pattern suggests that the pineal gland was originally a kind of atrophied photoreceptor that developed into a neuroendocrine organ.

Galen in the 2nd century C.E. could not find any functional role and regarded the gland as a structural support for the brain tissue. He gave the name konario, meaning cone or pinecone, which during the Renaissance was translated into Latin as pinealis. The 17th-century philosopher René Descartes regarded the gland as the primary locus of mind-body interaction, describing it as the ""principal seat of the soul""."
19-26 September 2019,"LEGO Batman Trilogy
LEGO Batman: The Videogame
LEGO Batman 2: DC Super Heroes
LEGO Batman 3: Beyond Gotham",2019,https://www.theverge.com/2019/9/20/20875378/batman-arham-asylum-city-knight-free-epic-games-store-lego-batman,,,,,,,,,,,,,,,,
26 September - 3 October 2019,Metro 2033 Redux,2019,https://dtf.ru/sale/71806-v-epic-games-store-nachalas-razdacha-everything-i-metro-2033-redux,https://en.wikipedia.org/wiki/Metro_2033_Redux,4A Games,,"16 March 2010, Windows, Xbox 360NA: 16 March 2010AU: 18 March 2010EU: 19 March 2010PlayStation 4, Xbox OneNA: 26 August 2014EU: 29 August 2014AU: 4 September 2014LinuxWW: 11 December 2014OS XWW: 14 April 2015Nintendo SwitchWW: 28 February 2020StadiaWW: 23 June 2020",First-person shooter,4A Engine,Andrew Prokhorov,Andrey Tkachenko,,,Viacheslav Aristov,,,Single-player,,
3-10 October 2019,Minit,2019,https://www.igromania.ru/news/86862/Sleduyuschey_besplatnoy_igroy_Epic_Games_Store_stanet_Surviving_Mars_a_poka_razdayut_Minit.html,https://en.wikipedia.org/wiki/Minit,,Devolver Digital,"Linux, Mac, Windows, PS4, Xbox OneApril 3, 2018SwitchAugust 9, 2018Android, iOSJune 27, 2019",Action-adventure,GameMaker: Studio,,,Jukio Kallio,,Jan Willem Nijman,,,Single-player,"Minit is a 2018 action-adventure video game developed by Jan Willem Nijman, Kitty Calis, Jukio Kallio, and Dominik Johann and published by Devolver Digital. It was released on April 3, 2018, for Windows, macOS, Linux, Xbox One, and PlayStation 4. A port to the Nintendo Switch was released later in 2018, followed versions for Android and iOS in 2019.","The game's premise is that each of the player's lives only lasts for one minute, resulting in ""a peculiar little adventure played sixty seconds at a time"". With each interval, the player will learn more about the environment."
10-17 October 2019,Surviving Mars,2019,https://dtf.ru/sale/74613-v-epic-games-store-nachalas-razdacha-surviving-mars,https://en.wikipedia.org/wiki/Surviving_Mars,,Paradox Interactive,"March 15, 2018",,,,,,,,,,Single-player,"Surviving Mars is a city building survival video game initially developed by the Bulgarian studio Haemimont Games, and later by Abstraction Games, and published by Paradox Interactive. It was released on Microsoft Windows, macOS, Linux, PlayStation 4 and Xbox One on March 15, 2018. The player serves as an overseer who must build a colony on Mars and ensure the survival of the colonists. Two spiritual successors, Surviving the Aftermath and Surviving the Abyss, were released in 2019 and 2022. A spin-off, Surviving Mars: Pioneer, and a remaster, Surviving Mars: Relaunched, was released in 2025.",
17-24 October 2019,Alan Wake’s American Nightmare,2019,https://dtf.ru/sale/75796-v-epic-games-store-nachalas-razdacha-alan-wake-s-american-nightmare-i-observer,,,,,,,,,,,,,,,,
24-31 October 2019,Layers of Fear,2019,https://www.igromania.ru/news/87513/U_vas_7_dney_chtoby_besplatno_zabrat_Q.U.B.E._2_i_Layers_of_Fear_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Layers_of_Fear,Bloober Team,Aspyr,"Linux, Windows, macOS, PlayStation 4, Xbox One16 February 2016Nintendo Switch21 February 2018",,Unity,,Mateusz Lenart,Arkadiusz Reikowski,,,Andrzej Mądrzak,,Single-player,"Layers of Fear is a psychological horror adventure game developed by Bloober Team and published by Aspyr. It was released on Linux, Microsoft Windows, macOS, PlayStation 4, and Xbox One worldwide in February 2016.","In Layers of Fear, the player controls a psychologically disturbed painter who is trying to complete his magnum opus as he navigates a Victorian mansion revealing secrets about his past. The gameplay, presented in first-person perspective, is story-driven and revolves around puzzle-solving and exploration. Layers of Fear: Inheritance was released on 2 August 2016 as a direct follow up add-on to the first game. This time the player controls the Painter's daughter with the downloadable content focusing on her apparent relapse into trauma after returning to her old house.

A  definitive port for the Nintendo Switch, entitled Layers of Fear: Legacy, was released on 21 February 2018 and it features, in addition to the Inheritance DLC, Joy-Con, touchscreen, and HD Rumble support. A limited physical retail release for the Nintendo Switch and PlayStation 4, published by Limited Run Games in North America, would be available starting October 2018. A sequel titled Layers of Fear 2 was announced in October 2018 and was released on May 29, 2019. A second sequel, also titled Layers of Fear, launched on June 15, 2023."
