FROM,TO,DAY,DAYS,TYPE,Title,NOTES,COLOR_CATEGORY,daterange_wiki,title_wiki,year_wiki,ru_link_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
2026-03-12 00:00:00,2026-03-19 00:00:00,Thursday,7,mobile,Wonder Boy: The Dragon's Trap,,FFF4CCCC,14-21 July 2022,Wonder Boy: The Dragon's Trap,2022.0,https://ru.wikipedia.org/wiki/Wonder_Boy:_The_Dragon’s_Trap?action=edit&redlink=1,https://3dnews.ru/1070209/egs-zapustil-razdachu-platformera-wonder-boy-the-dragons-trap-i-bogatogo-nabora-dlya-strategii-idle-champions-of-the-forgotten-realms,https://en.wikipedia.org/wiki/Wonder_Boy%3A_The_Dragon%27s_Trap,Lizardcube,,"Switch, PS4, Xbox One, 18 April 2017, Windows, 8 June 2017, Linux, macOS, 18 July 2017, [, 1, ], Android, iOS, tvOS, 30 May 2019, [, 2, ], Amazon Luna, 20 October 2020, [, 3, ]",,,Omar Cornut,Ben Fiquet,Michael Geyre,,,,Sebastien Ronsse,Single-player,"Wonder Boy: The Dragon's Trap is a 2017 platform action-adventure game developed by Lizardcube and published by Dotemu . The game is a remake of the 1989 game Wonder Boy III: The Dragon's Trap , which was originally developed by Westone Bit Entertainment and published by Sega for the Master System as part of the Wonder Boy series. The game takes place after the ending of Wonder Boy in Monster Land , in which Wonder Boy has been cursed by the Mecha Dragon and must go on a quest to return to human form. In the game, players find items and clues needed to access different parts of Monster Land, and they can transform into other forms and gain different abilities.","Wonder Boy: The Dragon's Trap was released for Nintendo Switch , PlayStation 4 , and Xbox One in April 2017, later releasing for Microsoft Windows , macOS and Linux computers, iOS and Android mobile platforms in 2019, and Amazon Luna in 2020. The game was developed by Lizardcube, in which all the art and animation for the game were single-handedly reproduced. The soundtrack was reimagined from the original game's chiptune soundtrack using real musical instruments. The game received positive reviews from critics, and the game has sold nearly 500,000 copies."
2026-03-12 00:00:00,2026-03-19 00:00:00,Thursday,7,,Cozy Grove,,FFD0E0E3,12-19 March 2026,Cozy Grove,2026.0,https://ru.wikipedia.org/wiki/Cozy_Grove?action=edit&redlink=1,https://www.igromania.ru/news/164801/v-epic-games-store-stali-besplatno-otdavat-istoricheskij-shuter-isonzo-i-uyutnuyu-cozy-grove/,https://en.wikipedia.org/wiki/Cozy_Grove,Spry Fox,,"iOS, macOS, tvOS, March 19, 2021, Nintendo Switch, ,, PS4, ,, PS5, ,, Win, ,, XBO, April 8, 2021",Life simulation,,,,,,,,,Single-player,"Cozy Grove is a 2021 life simulation game developed and published by Spry Fox . It was released on iOS , macOS and tvOS through Apple Arcade in March 2021, alongside versions for consoles and Windows in April 2021. The player character, a Spirit Scout, is tasked with soothing restless spirits.",
2026-03-12 00:00:00,2026-03-19 00:00:00,Thursday,7,,Isonzo,,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,mobile,Little Nightmares,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,pack3,Idle Champions of the Forgotten Realms - Raistlin's Renown Pack,"In-game content, log into game to get",FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,pack2,Idle Champions of the Forgotten Realms - Dragonlance Pack,"In-game content, log into game to get",FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,,Turnip Boy Robs a Bank,,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,mobile,Boxes: Lost Fragments,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,,Boxes: Lost Fragments,,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,,My Night Job,,FFD0E0E3,26 February - 5 March 2026,My Night Job,2026.0,https://ru.wikipedia.org/wiki/My_Night_Job?action=edit&redlink=1,https://dtf.ru/games/4810295-razdacha-igr-epic-games-store-boxes-lost-fragments-my-night-job,,,,,,,,,,,,,,,,
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,mobile,Residual,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,,Return to Ash,,FFD0E0E3,19-26 February 2026,Return To Ash,2026.0,https://ru.wikipedia.org/wiki/Return_To_Ash?action=edit&redlink=1,https://www.igromania.ru/news/163679/v-epic-games-store-stali-besplatno-otdavat-novellu-return-to-ash-i-podarki-v-stalcraft-x/,,,,,,,,,,,,,,,,
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,,STALCRAFT: X Edition Starter,,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,mobile,The Darkside Detective: A Fumble in the Dark,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,,Nobody Wants to Die,,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-02-12 00:00:00,2026-02-19 00:00:00,Thursday,7,,The Darkside Detective: A Fumble in the Dark,,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,mobile,Botany Manor,,FFF4CCCC,5-12 February 2026,Botany Manor,2026.0,https://ru.wikipedia.org/wiki/Botany_Manor?action=edit&redlink=1,https://vgtimes.ru/news/146875-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-botany-manor-i-dlc-dlya-pixel-gun-3d.html,https://en.wikipedia.org/wiki/Botany_Manor,Balloon Studios,Whitethorn Games,"Switch, Windows, Xbox One, Series X/S, 9 April 2024, PS4, PS5, 28 January 2025, Android, iOS, 5 February 2026",Puzzle,"Unity, [, 1, ]",Laure De Mey,,Thomas Williams,,,,,Single-player,"Botany Manor is a 2024 video game developed by English independent developer Balloon Studios and published by Whitethorn Games. The game is a puzzle title in which players explore a period English countryside manor to cultivate magical flora. Upon release, Botany Manor received generally positive reviews, with critics praising the game's environmental design, tone and pacing.",
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,,Botany Manor,,FFD0E0E3,5-12 February 2026,Botany Manor,2026.0,https://ru.wikipedia.org/wiki/Botany_Manor?action=edit&redlink=1,https://vgtimes.ru/news/146875-halyava-raskryty-sleduyuschie-besplatnye-igry-v-egs.-nachalas-razdacha-botany-manor-i-dlc-dlya-pixel-gun-3d.html,https://en.wikipedia.org/wiki/Botany_Manor,Balloon Studios,Whitethorn Games,"Switch, Windows, Xbox One, Series X/S, 9 April 2024, PS4, PS5, 28 January 2025, Android, iOS, 5 February 2026",Puzzle,"Unity, [, 1, ]",Laure De Mey,,Thomas Williams,,,,,Single-player,"Botany Manor is a 2024 video game developed by English independent developer Balloon Studios and published by Whitethorn Games. The game is a puzzle title in which players explore a period English countryside manor to cultivate magical flora. Upon release, Botany Manor received generally positive reviews, with critics praising the game's environmental design, tone and pacing.",
2026-02-05 00:00:00,2026-02-12 00:00:00,Thursday,7,,Poison Retro Set,Requires base game (free): Pixel Gun 3D,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-01-29 00:00:00,2026-02-05 00:00:00,Thursday,7,mobile,Faily Brakes 2,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-01-29 00:00:00,2026-02-05 00:00:00,Thursday,7,,Definitely Not Fried Chicken,,FFD0E0E3,29 January - 5 February 2026,Definitely Not Fried Chicken,2026.0,https://ru.wikipedia.org/wiki/Definitely_Not_Fried_Chicken?action=edit&redlink=1,https://www.igromania.ru/news/162451/v-egs-stali-besplatno-otdavat-definitely-not-fried-chicken-simulyator-zapretnogo-biznesa/,,,,,,,,,,,,,,,,
2026-01-22 00:00:00,2026-01-29 00:00:00,Thursday,7,mobile,The Forest Quartet,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-01-22 00:00:00,2026-01-29 00:00:00,Thursday,7,,Rustler (Grand Theft Horse),,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,mobile,Dumb Ways to Die,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,,Styx: Master of Shadows,,FFD0E0E3,15-22 January 2026,Styx: Master of Shadows,2026.0,https://ru.wikipedia.org/wiki/Styx:_Master_of_Shadows,https://www.igromania.ru/news/161694/v-epic-games-store-stali-besplatno-otdavat-styx-master-of-shadows-i-shards-of-darkness/,https://en.wikipedia.org/wiki/Styx%3A_Master_of_Shadows,Cyanide,Focus Home Interactive,"7 October 2014, [, 1, ]",Stealth,Unreal Engine 3,,,Henri-Pierre Pellegrin,,,,,Single-player,"Styx: Master of Shadows is a stealth video game developed by Cyanide Studios for Microsoft Windows , PlayStation 4 and Xbox One . The game is a prequel, and the second video game to take place in the world established by 2012's Of Orcs and Men . The game received a sequel, Styx: Shards of Darkness , in 2017.",
2026-01-15 00:00:00,2026-01-22 00:00:00,Thursday,7,,Styx: Shards of Darkness,,FFD0E0E3,,,,,,,,,,,,,,,,,,,,,
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,mobile,Bouncemasters,,FFF4CCCC,,,,,,,,,,,,,,,,,,,,,
2026-01-08 00:00:00,2026-01-15 00:00:00,Thursday,7,dupe,Bloons TD 6,,FFD0E0E3,15 December 2022,Bloons TD 6,2022.0,https://ru.wikipedia.org/wiki/Bloons_TD_6?action=edit&redlink=1,https://www.igromania.ru/news/121625/V_EGS_startovala_zimnyaya_rasprodazha_i_besplatnaya_razdacha_Bloons_TD_6.html,https://en.wikipedia.org/wiki/Bloons_TD_6,Ninja Kiwi,"Ninja Kiwi, [, a, ]","Android, iOS, June 13, 2018, Windows, December 17, 2018, macOS, March 13, 2020, Apple Arcade, February 11, 2022, Xbox One, September 5, 2023, visionOS, February 2, 2024, PlayStation 4, July 31, 2024",Tower defense,"Unity, [, 1, ]",,,,,,,,,"Bloons TD 6 is a 2018 tower defense game developed and published by Ninja Kiwi and created in Unity . In Bloons TD 6 , various monkeys are placed around the map to defend against ""Bloons"" that are travelling towards the exit. Being the sixth and latest entry in the Bloons Tower Defense series, it first released on June 13, 2018, for iOS and Android . It was later released on Microsoft Windows in December 2018, and macOS in March 2020 via Steam and later on Apple Arcade . It was later released on the Epic Games Store on June 19, 2022. In February 2022, Bloons TD 6+ was released for Apple Arcade . On June 12, 2023, Bloons TD 6 Netflix was released on iOS and Android for Netflix members only. Bloons TD 6 was released for the Apple Vision Pro on February 2, 2024. Bloons TD 6 has releases for consoles, starting with Xbox One on September 5, 2023, and on July 31, 2024, on PlayStation 4 .",
