2025-11-20,2025-11-27,Thursday,7,mobile,Zoeti,
,,,,,Godzilla Voxel Wars,
,,,,,Zoeti,
2025-11-13,2025-11-20,Thursday,7,mobile,Scourgebringer,
,,,,,Scourgebringer,
,,,,,Songs of Silence,
,,,,,Zero Hour,
2025-11-06,2025-11-13,Thursday,7,pack3,Idle Champions of the Forgotten Realms - Nixie's Champions of Renown Pack,"In-game content, log into game to get"
,,,,,Felix The Reaper,
,,,,pack,Idle Champions of the Forgotten Realms - Nixie's Champions of Renown Pack,"In-game content, log into game to get"
2025-10-30,2025-11-06,Thursday,7,mobile,Bendy and the Ink Machine,
,,,,,Bendy and the Ink Machine,
,,,,,Five Nights at Freddy's: Into the Pit,
2025-10-23,2025-10-30,Thursday,7,mobile,Doodle Farm: Breeds and Beasts,
,,,,,Fear the Spotlight,
2025-10-16,2025-10-23,Thursday,7,mobile,Samorost 3,
,,,,,Amnesia: The Bunker,
,,,,,Samorost 3,
2025-10-09,2025-10-16,Thursday,7,mobile,Double Dragon Trilogy,
,,,,pack,Albion Online - Rogue Journeyman Bundle,"In-game content, log into game to get"
,,,,,Gravity Circuit,
2025-10-02,2025-10-09,Thursday,7,mobile,Doodle Devil: Dark Side,
,,,,pack,Firestone Online Idle RPG - Special Offer,"In-game content, log into game to get"
,,,,,Nightingale,
2025-09-25,2025-10-02,Thursday,7,dupe3,Eastern Exorcist,
,,,,,Eastern Exorcist,
,,,,,Jorel’s Brother and The Most Important Game of the Galaxy,
2025-09-18,2025-09-25,Thursday,7,pack3,Road Redemption Mobile - Full Game,Requires base game (free): Road Redemption Mobile
,,,,mobile,Samorost 2,
,,,,,Project Winter,
,,,,,Samorost 2,
2025-09-11,2025-09-18,Thursday,7,mobile,Monument Valley 2,
,,,,mobile,The Battle of Polytopia,
,,,,dupe,Ghostrunner 2,
,,,,,Monument Valley 2,
,,,,,The Battle of Polytopia,
2025-09-04,2025-09-11,Thursday,7,mobile,Monument Valley,
,,,,,Monument Valley,
2025-08-28,2025-09-04,Thursday,7,mobile,Machinarium,
,,,,,Machinarium,
,,,,,Make Way,
2025-08-21,2025-08-28,Thursday,7,mobile,Strange Horticulture,
,,,,,Kamaeru,
,,,,,Strange Horticulture,
2025-08-14,2025-08-21,Thursday,7,mobile,Hidden Folks,
,,,,,Hidden Folks,
,,,,dupe,Totally Reliable Delivery Service Standard Edition,
2025-08-07,2025-08-14,Thursday,7,mobile,112 Operator,
,,,,,112 Operator,
,,,,,Road Redemption,
2025-07-31,2025-08-07,Thursday,7,mobile,Pilgrims,
,,,,,Keylocker | Turn Based Cyberpunk Action,
,,,,,Pilgrims,
2025-07-24,2025-07-31,Thursday,7,mobile,Doodle Mafia: Epic Alchemy,
,,,,,Legion TD 2,
2025-07-17,2025-07-24,Thursday,7,mobile,There Is No Game: Wrong Dimension,
,,,,,Sid Meier’s Civilization® VI Platinum Edition,
2025-07-10,2025-07-17,Thursday,7,mobile,Figment 2: Creed Valley,
