FROM,TO,DAY,DAYS,TYPE,Title_gsheets,NOTES,COLOR_CATEGORY,Date,Title_wiki,Year,Game Wiki Link,Source Links,Original_Title,HLTB_Found,HLTB_Game_Name,HLTB_Main_Story,HLTB_Main_Extra,HLTB_Completionist,HLTB_All_Styles,HLTB_Review_Score,HLTB_Platforms,HLTB_Release_World,HLTB_Similarity,HLTB_Match_Score,HLTB_Query_Used
2026-03-12 00:00:00,2026-03-19 00:00:00,Thursday,7,,Cozy Grove,,FFD0E0E3,12-19 March 2026,Cozy Grove,2026.0,https://ru.wikipedia.org/w/index.php?title=Cozy_Grove&action=edit&redlink=1,https://www.igromania.ru/news/164801/v-epic-games-store-stali-besplatno-otdavat-istoricheskij-shuter-isonzo-i-uyutnuyu-cozy-grove/,Cozy Grove,True,Cozy Grove,73.2,100.49,140.37,104.56,75.0,"Mobile, Nintendo Switch, PC, PlayStation 4, Xbox One",2021.0,1.0,1.0,Cozy Grove
2026-03-12 00:00:00,2026-03-19 00:00:00,Thursday,7,,Isonzo,,FFD0E0E3,,,,,,Isonzo,True,Isonzo,12.1,19.41,115.0,35.07,74.0,"Linux, Mac, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2022.0,1.0,1.0,Isonzo
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,mobile,Little Nightmares,,FFF4CCCC,,,,,,Little Nightmares,True,Little Nightmares,3.57,5.16,9.04,4.3,78.0,"Google Stadia, Mobile, Nintendo Switch, Nintendo Switch 2, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2017.0,1.0,1.0,Little Nightmares
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,pack3,Idle Champions of the Forgotten Realms - Raistlin's Renown Pack,"In-game content, log into game to get",FFF4CCCC,,,,,,Idle Champions of the Forgotten Realms - Raistlin's Renown Pack,False,,,,,,,,,,,
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,pack2,Idle Champions of the Forgotten Realms - Dragonlance Pack,"In-game content, log into game to get",FFD0E0E3,,,,,,Idle Champions of the Forgotten Realms - Dragonlance Pack,False,,,,,,,,,,,
2026-03-05 00:00:00,2026-03-12 00:00:00,Thursday,7,,Turnip Boy Robs a Bank,,FFD0E0E3,,,,,,Turnip Boy Robs a Bank,True,Turnip Boy Robs a Bank,3.97,4.98,6.01,5.15,74.0,"Mobile, Nintendo Switch, PC, Xbox One",2024.0,1.0,1.0,Turnip Boy Robs a Bank
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,mobile,Boxes: Lost Fragments,,FFF4CCCC,,,,,,Boxes: Lost Fragments,True,Boxes: Lost Fragments,3.79,3.83,4.04,3.97,75.0,"Mobile, PC",2024.0,1.0,1.0,Boxes: Lost Fragments
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,,Boxes: Lost Fragments,,FFD0E0E3,,,,,,Boxes: Lost Fragments,True,Boxes: Lost Fragments,3.79,3.83,4.04,3.97,75.0,"Mobile, PC",2024.0,1.0,1.0,Boxes: Lost Fragments
2026-02-26 00:00:00,2026-03-05 00:00:00,Thursday,7,,My Night Job,,FFD0E0E3,26 February - 5 March 2026,My Night Job,2026.0,https://ru.wikipedia.org/w/index.php?title=My_Night_Job&action=edit&redlink=1,https://dtf.ru/games/4810295-razdacha-igr-epic-games-store-boxes-lost-fragments-my-night-job,My Night Job,True,My Night Job,0.0,0.0,0.0,0.0,17.0,PC,2016.0,1.0,1.0,My Night Job
2026-02-19 00:00:00,2026-02-26 00:00:00,Thursday,7,mobile,Residual,,FFF4CCCC,,,,,,Residual,True,Residual,3.0,0.0,0.0,3.0,0.0,"Linux, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",2021.0,1.0,1.0,Residual
