Date,Title,Year,Game Wiki Link,Source Links
5-12 May 2022,Terraforming Mars,2022,https://ru.wikipedia.org/wiki/Terraforming_Mars?action=edit&redlink=1,https://dtf.ru/sale/1185103-v-epic-games-store-nachalas-razdacha-poshagovoy-ekonomicheskoy-strategii-terraforming-mars
12-19 May 2022,Jotun: Valhalla Edition,2022,https://ru.wikipedia.org/wiki/Jotun_(игра),https://dtf.ru/sale/1191348-v-epic-games-store-nachalas-razdacha-jotun-i-redout-v-magazine-takzhe-mozhno-zabrat-prey-no-ne-v-rossii
19-26 May 2022,Borderlands 3,2022,https://ru.wikipedia.org/wiki/Borderlands_3,https://www.polygon.com/23130579/borderlands-3-free-pc-epic-games-store-mega-sale-vault
26 May - 2 June 2022,"BioShock: The Collection
BioShock Remastered
BioShock 2 Remastered
BioShock Infinite: The Complete Edition",2022,https://ru.wikipedia.org/wiki/BioShock:_The_Collection,https://www.pcgamesn.com/bioshock-the-collection/free-game-epic-store
2-9 June 2022,Wolfenstein: The New Order,2022,https://ru.wikipedia.org/wiki/Wolfenstein:_The_New_Order,https://www.vg247.com/wolfenstein-the-new-order-epic-games-store-freebie
9-16 June 2022,Maneater,2022,https://ru.wikipedia.org/wiki/Maneater_(игра),https://dtf.ru/sale/1224659-v-epic-games-store-nachalas-razdacha-maneater
16-23 June 2022,Supraland,2022,https://ru.wikipedia.org/wiki/Supraland,https://games.mail.ru/pc/news/2022-06-16/startovala-besplatnaya-razdacha-priklyucheniya-supraland/
23-30 June 2022,Car Mechanic Simulator 2018,2022,https://ru.wikipedia.org/wiki/Car_Mechanic_Simulator_2018?action=edit&redlink=1,https://www.igromania.ru/news/117243/V_EGS_besplatno_razdayut_nastolku_po_Igre_prestolov_i_simulyator_avtomehanika.html
30 June - 7 July 2022,Hood: Outlaws & Legends,2022,https://ru.wikipedia.org/wiki/Hood:_Outlaws_&_Legends?action=edit&redlink=1,https://stopgame.ru/newsdata/53944/troynoy_podarok_v_egs_hood_outlaws_legends_iratus_lord_of_the_dead_i_geneforge_1_mutagen
7-14 July 2022,Killing Floor 2,2022,https://ru.wikipedia.org/wiki/Killing_Floor_2,https://dtf.ru/sale/1260194-v-epic-games-store-nachalas-razdacha-ancient-enemy-i-killing-floor-2
14-21 July 2022,Wonder Boy: The Dragon’s Trap,2022,https://ru.wikipedia.org/wiki/Wonder_Boy:_The_Dragon’s_Trap?action=edit&redlink=1,https://3dnews.ru/1070209/egs-zapustil-razdachu-platformera-wonder-boy-the-dragons-trap-i-bogatogo-nabora-dlya-strategii-idle-champions-of-the-forgotten-realms
21-28 July 2022,Tannenberg,2022,https://ru.wikipedia.org/wiki/Tannenberg,https://kanobu.ru/news/v-epic-games-store-nachalas-besplatnaya-razdacha-tannenberg-454513/
28 July - 4 August 2022,Lawn Mowing Simulator,2022,https://ru.wikipedia.org/wiki/Lawn_Mowing_Simulator?action=edit&redlink=1,https://3dnews.ru/1071084/novaya-razdacha-epic-games-store-predlagaet-stat-gazonokosilshchikom-v-lawn-mowing-simulator
4-11 August 2022,Unrailed!,2022,https://ru.wikipedia.org/wiki/Unrailed!?action=edit&redlink=1,https://m.igromania.ru/news/118264/V_EGS_besplatno_otdayut_simulyator_postroyki_zheleznoy_dorogi_Unrailed!.html
11-18 August 2022,"Cook, Serve, Delicious! 3?!",2022,"https://ru.wikipedia.org/wiki/Cook,_Serve,_Delicious!_3%3F!",https://kanobu.ru/news/v-egs-startovala-razdacha-cook-serve-delicious-3-455283/
18-25 August 2022,Набор «Boom Boxer Pack» для Rumbleverse,2022,https://ru.wikipedia.org/wiki/Rumbleverse,https://dtf.ru/sale/1316920-v-epic-games-store-nachalas-razdacha-doom-64
25 August - 1 September 2022,Ring of Pain,2022,https://ru.wikipedia.org/wiki/Ring_of_Pain?action=edit&redlink=1,https://kanobu.ru/news/na-sleduyuschej-nedele-v-egs-besplatno-razdadut-shadow-of-the-tomb-raider-455790/
1-8 September 2022,Shadow of the Tomb Raider,2022,https://ru.wikipedia.org/wiki/Shadow_of_the_Tomb_Raider,https://kanobu.ru/news/v-egs-startovala-razdacha-shadow-of-the-tomb-raider-i-submerged-hidden-depths-456057/
8-15 September 2022,Hundred Days,2022,https://ru.wikipedia.org/wiki/Hundred_Days?action=edit&redlink=1,https://www.igromania.ru/news/119084/V_Epic_Games_Store_besplatno_otdayut_simulyator_vinodeliya_Hundred_Days.html
15-22 September 2022,Spirit of the North,2022,https://ru.wikipedia.org/wiki/Spirit_of_the_North,https://dtf.ru/sale/1355484-v-epic-games-store-nachalas-razdacha-ekshena-o-lise-spirit-of-the-north-i-advenchury-o-polete-cherez-vselennuyu-the-captain
22-29 September 2022,Ark: Survival Evolved,2022,https://ru.wikipedia.org/wiki/Ark:_Survival_Evolved,https://www.igromania.ru/news/119453/V_EGS_besplatno_razdayut_Gloomhaven_i_ARK_Survival_Evolved.html
29 September - 6 October 2022,Runbow,2022,https://ru.wikipedia.org/wiki/Runbow?action=edit&redlink=1,https://stopgame.ru/newsdata/55185/v_egs_razdayut_sorevnovatelnyy_platformer_i_simulyator_gonok_na_dronah
6-13 October 2022,Rising Hell,2022,https://ru.wikipedia.org/wiki/Rising_Hell?action=edit&redlink=1,https://www.igromania.ru/news/119798/V_Epic_Games_Store_besplatno_otdayut_Rising_Hell_i_Slain_Back_From_Hell.html
13-20 October 2022,ToeJam & Earl: Back in the Groove,2022,https://ru.wikipedia.org/wiki/ToeJam_&_Earl:_Back_in_the_Groove?action=edit&redlink=1,https://dtf.ru/sale/1393132-na-sleduyushchey-nedele-v-epic-games-store-razdadut-fallout-3-game-of-the-year-edition
20-27 October 2022,Fallout 3: Game of the Year Edition,2022,https://ru.wikipedia.org/wiki/Fallout_3,https://dtf.ru/sale/1393388-v-epic-games-store-startovala-razdacha-polnogo-izdaniya-fallout-3-ego-mozhno-zabrat-do-27-oktyabrya
27 October - 3 November 2022,"Warhammer 40,000: Mechanicus",2022,"https://ru.wikipedia.org/wiki/Warhammer_40,000:_Mechanicus",https://www.igromania.ru/news/120320/V_EGS_besplatno_otdayut_Saturnalia_i_Warhammer_40_000_Mechanicus.html
3-10 November 2022,Filament,2022,https://ru.wikipedia.org/wiki/Filament?action=edit&redlink=1,https://www.igromania.ru/news/120495/Rising_Storm_2_Vietnam_i_Filament_mozhno_zabrat_v_Epic_Games_Store.html
10-17 November 2022,Alba: A Wildlife Adventure,2022,https://ru.wikipedia.org/wiki/Alba:_A_Wildlife_Adventure?action=edit&redlink=1,https://kanobu.ru/news/na-sleduyuschej-nedele-v-egs-razdadut-evil-dead-the-game-459072/
17-24 November 2022,Dark Deity,2022,https://ru.wikipedia.org/wiki/Dark_Deity?action=edit&redlink=1,https://games.mail.ru/pc/news/2022-11-17/nachalas-besplatnaya-razdacha-evil-dead-the-game-i-dark-deity/
24 November - 1 December 2022,Star Wars: Squadrons,2022,https://ru.wikipedia.org/wiki/Star_Wars:_Squadrons,https://kanobu.ru/news/v-epic-games-store-nachalas-razdacha-star-wars-squadrons-459657/
1-8 December 2022,Fort Triumph,2022,https://ru.wikipedia.org/wiki/Fort_Triumph?action=edit&redlink=1,https://www.igromania.ru/news/121171/V_Epic_Games_Store_budut_besplatno_otdavat_Saints_Row_4.html
8-15 December 2022,Saints Row IV: Re-Elected,2022,https://ru.wikipedia.org/wiki/Saints_Row_IV,https://www.igromania.ru/news/121402/V_Epic_Games_Store_besplatno_otdayut_Saints_Row_4_i_Wildcat_Gun_Machine.html?from=mpp
15 December 2022,Bloons TD 6,2022,https://ru.wikipedia.org/wiki/Bloons_TD_6?action=edit&redlink=1,https://www.igromania.ru/news/121625/V_EGS_startovala_zimnyaya_rasprodazha_i_besplatnaya_razdacha_Bloons_TD_6.html
16 December 2022,Horizon Chase Turbo,2022,https://ru.wikipedia.org/wiki/Horizon_Chase_Turbo?action=edit&redlink=1,https://ixbt.games/news/2022/12/16/v-epic-games-store-nacalas-besplatnaya-razdaca-horizon-chase-turbo-kotoraya-prodlitsya-lis-sutki.html
17 December 2022,Costume Quest 2,2022,https://ru.wikipedia.org/wiki/Costume_Quest_2?action=edit&redlink=1,https://gamerant.com/epic-games-store-free-mystery-december-2022-costume-quest-2/
18 December 2022,Sable,2022,https://ru.wikipedia.org/wiki/Sable,https://dtf.ru/sale/1513412-v-epic-games-store-startovala-razdacha-sable-krasochnoy-advenchury-ob-issledovanii-pustynnoy-planety
19 December 2022,Them’s Fightin’ Herds,2022,https://ru.wikipedia.org/wiki/Them’s_Fightin’_Herds?action=edit&redlink=1,https://ixbt.games/news/2022/12/19/v-epic-games-store-nacalas-besplatnaya-razdaca-faitinga-s-poni-thems-fightin-herds-kotoraya-prodlits.html
20 December 2022,Wolfenstein: The New Order,2022,https://ru.wikipedia.org/wiki/Wolfenstein:_The_New_Order,https://ixbt.games/news/2022/12/20/v-epic-games-store-nacalas-besplatnaya-razdaca-wolfenstein-the-new-order-no-polzovatelyam-iz-rossii-.html
21 December 2022,Lego Builder’s Journey,2022,https://ru.wikipedia.org/wiki/Lego_Builder’s_Journey,https://kanobu.ru/news/v-epic-games-store-nachalas-besplatnaya-razdacha-lego-builders-journey-461053/
22 December 2022,Fallout,2022,https://ru.wikipedia.org/wiki/Fallout_(игра),https://www.championat.com/cybersport/news-4936879-v-epic-games-store-besplatno-daryat-trilogiyu-fallout.html
23 December 2022,Encased,2022,https://ru.wikipedia.org/wiki/Encased:_A_Sci-Fi_Post-Apocalyptic_RPG,https://www.igromania.ru/news/121872/V_Epic_Games_Store_besplatno_otdayut_rolevuyu_Encased.html
24 December 2022,Metro: Last Light Redux,2022,https://ru.wikipedia.org/wiki/Metro_Redux,https://www.igromania.ru/news/121885/Metro_Last_Light_Redux_otdayut_v_Epic_Games_Store_no_ne_vsem.html
25 December 2022,Death Stranding,2022,https://ru.wikipedia.org/wiki/Death_Stranding,https://www.igromania.ru/news/121897/V_Epic_Games_Store_besplatno_otdayut_Death_Stranding.html
26 December 2022,F.I.S.T.: Forged In Shadow Torch,2022,https://ru.wikipedia.org/wiki/F.I.S.T.:_Forged_In_Shadow_Torch?action=edit&redlink=1,https://www.igromania.ru/news/121937/F.I.S.T._Forged_In_Shadow_Torch_stala_ocherednoy_besplatnoy_igroy_v_EGS.html
27 December 2022,Severed Steel,2022,https://ru.wikipedia.org/wiki/Severed_Steel?action=edit&redlink=1,https://www.igromania.ru/news/121973/Shuter_Severed_Steel_besplatno_razdayut_v_Epic_Games_Store.html
28 December 2022,Mortal Shell,2022,https://ru.wikipedia.org/wiki/Mortal_Shell,https://www.igromania.ru/news/122012/Mortal_Shell_stala_ocherednoy_besplatnoy_igroy_v_EGS.html
29 December - 5 January 2023,Dishonored: Definitive Edition,2022,https://ru.wikipedia.org/wiki/Dishonored,https://www.igromania.ru/news/122050/V_EGS_besplatno_razdayut_Dishonored_i_Eximius_Seize_the_Frontline.html
5-12 January 2023,Shadow Tactics: Aiko’s Choice,2023,https://ru.wikipedia.org/wiki/Shadow_Tactics:_Aiko’s_Choice?action=edit&redlink=1,https://www.gry-online.pl/newsroom/kerbal-space-program-i-shadow-tactics-aikos-choice-za-darmo-w-egs/z123c4e
12-19 January 2023,First Class Trouble,2023,https://ru.wikipedia.org/wiki/First_Class_Trouble?action=edit&redlink=1,https://stopgame.ru/newsdata/56571/v_egs_daryat_tri_igry_first_class_trouble_gamedec_i_divine_knockout
19-26 January 2023,Epistory — Typing Chronicles,2023,https://ru.wikipedia.org/wiki/Epistory_—_Typing_Chronicles?action=edit&redlink=1,https://stopgame.ru/newsdata/56669/v_egs_razdayut_epistory_priklyuchenie_o_pechatanii_slov
26 January - 2 February 2023,Adios,2023,https://ru.wikipedia.org/wiki/Adios_(игра)?action=edit&redlink=1,https://kanobu.ru/news/v-egs-razdayut-adios-i-hell-is-others-462526/
2-9 February 2023,Dishonored: Death of the Outsider,2023,https://ru.wikipedia.org/wiki/Dishonored:_Death_of_the_Outsider,https://www.igromania.ru/news/123004/V_Epic_Games_Store_mozhno_besplatno_zabrat_Dishonored_Death_of_the_Outsider.html
9-16 February 2023,Recipe for Disaster,2023,https://ru.wikipedia.org/wiki/Recipe_for_Disaster?action=edit&redlink=1,https://www.igromania.ru/news/123244/V_EGS_besplatno_razdayut_simulyator_upravleniya_restoranom_Recipe_for_Disaster.html
16-23 February 2023,Warpips,2023,https://ru.wikipedia.org/wiki/Warpips?action=edit&redlink=1,https://www.igromania.ru/news/123476/V_EGS_besplatno_razdayut_voennuyu_strategiyu_Warpips.html
23 February - 2 March 2023,Duskers,2023,https://ru.wikipedia.org/wiki/Duskers?action=edit&redlink=1,https://www.igromania.ru/news/123677/V_Epic_Games_Store_besplatno_otdayut_kosmicheskiy_rogalik_Duskers.html
2-9 March 2023,Rise of Industry,2023,https://ru.wikipedia.org/wiki/Rise_of_Industry,https://www.igromania.ru/news/123892/V_Epic_Games_Store_besplatno_razdayut_yekonomicheskuyu_strategiyu_Rise_of_Industry.html
9-16 March 2023,Call of the Sea,2023,https://ru.wikipedia.org/wiki/Call_of_the_Sea,https://kanobu.ru/news/v-egs-startovala-razdacha-call-of-the-sea-464634/
16-23 March 2023,"Warhammer 40,000: Gladius – Relics of War",2023,"https://ru.wikipedia.org/wiki/Warhammer_40,000:_Gladius_–_Relics_of_War",https://dtf.ru/sale/1692676-v-epic-games-store-nachalas-razdacha-strategii-warhammer-40-000-gladius-relics-of-war
23-30 March 2023,Chess Ultra,2023,https://ru.wikipedia.org/wiki/Chess_Ultra,https://www.igromania.ru/news/124597/V_Epic_Games_Store_besplatno_razdayut_shahmaty_Chess_Ultra.html
30 March - 6 April 2023,Tunche,2023,https://ru.wikipedia.org/wiki/Tunche?action=edit&redlink=1,https://3dnews.ru/1084261/insayder-raskryl-kakaya-krupnaya-igra-popadyot-v-besplatnuyu-razdachu-epic-games-store-na-sleduyuschey-nedele
6-13 April 2023,Dying Light: Enhanced Edition,2023,https://ru.wikipedia.org/wiki/Dying_Light,https://www.igromania.ru/news/125081/V_Epic_Games_Store_besplatno_razdayut_Dying_Light_Enhanced_Edition.html
13-20 April 2023,Mordhau,2023,https://ru.wikipedia.org/wiki/Mordhau,https://3dnews.ru/1085039/v-epic-games-store-nachalas-razdacha-mordhau-i-second-extinction-no-v-rossii-dostupna-tolko-odna-iz-nikh
20-27 April 2023,Beyond Blue,2023,https://ru.wikipedia.org/wiki/Beyond_Blue?action=edit&redlink=1,https://dtf.ru/sale/1681127-v-epic-games-store-nachalas-razdacha-beyond-blue-i-never-alone
27 April - 4 May 2023,Breathedge,2023,https://ru.wikipedia.org/wiki/Breathedge?action=edit&redlink=1,https://www.igromania.ru/news/125819/V_Epic_Games_Store_besplatno_razdayut_kosmicheskuyu_Breathedge_i_Poker_Club.html
4-11 May 2023,Against All Odds,2023,https://ru.wikipedia.org/wiki/Against_All_Odds_(игра)?action=edit&redlink=1,https://kanobu.ru/news/v-egs-besplatno-razdayut-against-all-odds-i-kao-the-kangaro-467843/
11-18 May 2023,"Набор «The Sims 4: Жажда приключений»
Приключение в джунглях
Роскошная вечеринка
Фэшн-Стрит",2023,https://ru.wikipedia.org/wiki/The_Sims_4:_Приключение_в_джунглях,https://www.igromania.ru/news/126240/V_Epic_Games_Store_besplatno_razdayut_kollekciyuThe_Sims_4Zhazhda_Priklyucheniy.html
18-25 May 2023,Death Stranding,2023,https://ru.wikipedia.org/wiki/Death_Stranding,https://www.igromania.ru/news/126480/V_Epic_Games_Store_besplatno_razdayut_Death_Stranding.html
25 May - 1 June 2023,Fallout: New Vegas Ultimate Edition,2023,https://ru.wikipedia.org/wiki/Fallout:_New_Vegas,https://kanobu.ru/news/v-egs-startovala-razdacha-fallout-new-vegas-ultimate-edition-469029/
1-8 June 2023,Midnight Ghost Hunt,2023,https://ru.wikipedia.org/wiki/Midnight_Ghost_Hunt,https://dtf.ru/sale/1861337-v-epic-games-store-nachalas-razdacha-midnight-ghost-hunt-onlayn-igry-ob-ohote-na-privedeniy
8-15 June 2023,Payday 2,2023,https://ru.wikipedia.org/wiki/Payday_2,https://dtf.ru/sale/1876398-v-epic-games-store-startovala-razdacha-payday-2-igru-mozhno-zabrat-do-15-iyunya
15-22 June 2023,Guacamelee!,2023,https://ru.wikipedia.org/wiki/Guacamelee!,https://3dnews.ru/1088472/epic-games-store-ustroil-razdachu-metroidvaniy-s-meksikanskim-koloritom-guacamelee-2-i-guacamelee-super-turbo-championship-edition
22-29 June 2023,The Hunter: Call of the Wild,2023,https://ru.wikipedia.org/wiki/The_Hunter:_Call_of_the_Wild?action=edit&redlink=1,https://dtf.ru/sale/1906335-v-epic-games-store-nachalas-razdacha-simulyatora-ohoty-thehunter-call-of-the-wild
29 June - 6 July 2023,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,2023,https://ru.wikipedia.org/wiki/The_Dungeon_Of_Naheulbeuk:_The_Amulet_Of_Chaos?action=edit&redlink=1,https://www.igromania.ru/news/127945/v-egs-otdayut-dostupnuyu-v-rossii-the-dungeon-of-naheulbeuk-the-amulet-of-chaos/
6-13 July 2023,Grime,2023,https://ru.wikipedia.org/wiki/Grime_(игра)?action=edit&redlink=1,https://kanobu.ru/news/v-epic-games-store-nachalas-razdacha-metroidvanii-grime-471338/
13-20 July 2023,Train Valley 2,2023,https://ru.wikipedia.org/wiki/Train_Valley_2?action=edit&redlink=1,https://kanobu.ru/news/v-egs-startovala-razdacha-golovolomki-train-valley-2-471735/
20-27 July 2023,The Elder Scrolls Online,2023,https://ru.wikipedia.org/wiki/The_Elder_Scrolls_Online,https://dtf.ru/sale/1971389-v-epic-games-store-nachalas-razdacha-the-elder-scrolls-online-dlya-rossiyskih-akkauntov-igra-nedostupna
27 July - 3 August 2023,Homeworld Remastered Collection,2023,https://ru.wikipedia.org/wiki/Homeworld_Remastered_Collection?action=edit&redlink=1,https://kanobu.ru/news/v-egs-besplatno-razdayut-homeworld-remastered-collection-i-severed-steel-472539/
3-10 August 2023,Bloons TD 6,2023,https://ru.wikipedia.org/wiki/Bloons_TD_6?action=edit&redlink=1,https://dtf.ru/sale/2006555-v-epic-games-store-startovala-razdacha-roglayta-loop-hero-ot-rossiyskih-razrabotchikov
10-17 August 2023,Europa Universalis IV,2023,https://ru.wikipedia.org/wiki/Europa_Universalis_IV,https://dtf.ru/sale/2023817-s-17-po-24-avgusta-v-epic-games-store-proydet-razdacha-chernoy-knigi
17-24 August 2023,«Чёрная книга»,2023,https://ru.wikipedia.org/wiki/Чёрная_книга_(игра),https://dtf.ru/sale/2040675-v-epic-games-store-razdayut-chernuyu-knigu-rpg-v-slavyanskom-settinge-ot-permskoy-studii-morteshka
24-31 August 2023,Homeworld: Deserts of Kharak,2023,https://ru.wikipedia.org/wiki/Homeworld:_Deserts_of_Kharak,https://www.igromania.ru/news/129836/v-egs-besplatno-razdayut-dostupnuyu-v-rossii-strategiyu-homeworld-deserts-of-kharak/
31 August - 7 September 2023,Cave Story+,2023,https://ru.wikipedia.org/wiki/Cave_Story,https://www.igromania.ru/news/130083/v-epic-games-store-besplatno-razdayut-priklyuchenie-cave-story/
7-14 September 2023,Spelldrifter,2023,https://ru.wikipedia.org/wiki/Spelldrifter?action=edit&redlink=1,https://www.igromania.ru/news/130333/v-epic-games-store-razdayut-rolevuyu-taktiku-spelldrifter-v-mire-fentezi/
14-21 September 2023,911 Operator,2023,https://ru.wikipedia.org/wiki/911_Operator,https://dtf.ru/sale/2114159-v-epic-games-store-startovala-razdacha-911-operator-simulyatora-dispetchera-ekstrennyh-sluzhb
21-28 September 2023,Out of Line,2023,https://ru.wikipedia.org/wiki/Out_of_Line_(игра)?action=edit&redlink=1,https://www.igromania.ru/news/130787/v-egs-nachalas-besplatnaya-razdacha-out-of-line-i-the-forest-quartet/
28 September - 5 October 2023,Model Builder,2023,https://ru.wikipedia.org/wiki/Model_Builder?action=edit&redlink=1,https://www.igromania.ru/news/131003/v-epic-games-store-nachalas-razdacha-simulyatora-model-builder-i-sleshera-soulstice/
5-12 October 2023,Godlike Burger,2023,https://ru.wikipedia.org/wiki/Godlike_Burger?action=edit&redlink=1,https://dtf.ru/sale/2174815-v-epic-games-store-razdayut-godlike-burger-zhestokiy-simulyator-upravleniya-galakticheskim-restoranom
12-19 October 2023,Blazing Sales,2023,https://ru.wikipedia.org/wiki/Blazing_Sales?action=edit&redlink=1,https://kanobu.ru/news/v-epic-games-store-startovala-razdacha-blazing-sails-i-qube-ultimate-bundle-476714/
19-26 October 2023,The Evil Within,2023,https://ru.wikipedia.org/wiki/The_Evil_Within,https://3dnews.ru/1094722/epic-games-store-ustroil-razdachu-the-evil-within-a-skoro-podarit-the-evil-within-2-kak-zabrat-igru-v-rossii
26 October - 2 November 2023,"data-sort-value=""Evil Within, The 2""| The Evil Within 2",2023,https://ru.wikipedia.org/wiki/The_Evil_Within_2,https://www.igromania.ru/news/131980/v-egs-nachali-razdavat-horror-the-evil-within-2-avtora-resident-evil/
2-9 November 2023,F.I.S.T.: Forged In Shadow Torch,2023,https://ru.wikipedia.org/wiki/F.I.S.T.:_Forged_In_Shadow_Torch?action=edit&redlink=1,https://ixbt.games/news/2023/11/02/v-epic-games-store-razdayut-igru-o-repke-s-problemami-s-nalogovoi-turnip-boy-commits-tax-evasion.html
9-16 November 2023,Golden Light,2023,https://ru.wikipedia.org/wiki/Golden_Light?action=edit&redlink=1,https://dtf.ru/sale/2252481-v-egs-nachalas-razdacha-horror-rogalika-golden-light-v-kotorom-kucha-myasa-mozhet-izbit-kuchu-knig
16-23 November 2023,Earthlock,2023,https://ru.wikipedia.org/wiki/Earthlock?action=edit&redlink=1,https://dtf.ru/sale/2267869-v-egs-startovala-razdacha-multyashnoy-rpg-earthlock-i-postapokalipticheskoy-strategii-surviving-the-aftermath
23-30 November 2023,Deliver Us Mars,2023,https://ru.wikipedia.org/wiki/Deliver_Us_Mars?action=edit&redlink=1,https://3dnews.ru/1096453/igra-iz-novoy-razdachi-epic-games-store-otpravit-polzovateley-na-mars-kak-zabrat-deliver-us-mars-v-rossii
30 November - 7 December 2023,Jitsu Squad,2023,https://ru.wikipedia.org/wiki/Jitsu_Squad?action=edit&redlink=1,https://www.igromania.ru/news/133142/v-egs-startovala-besplatnaya-razdacha-fajtingov-jitsu-squad-i-mighty-fight-federation/
7-13 December 2023,GigaBash,2023,https://ru.wikipedia.org/wiki/GigaBash?action=edit&redlink=1,https://www.igromania.ru/news/133375/v-epic-games-store-nachali-otdavat-ekshenyi-predecessor-i-gigabash/
13-20 December 2023,Классический набор для Destiny 2,2023,https://ru.wikipedia.org/wiki/Destiny_2,https://www.cybersport.ru/tags/games/v-egs-stal-besplatnym-nabor-destiny-2-s-dopolneniiami-za-2-5-tysiachi
20 December 2023,DNF Duel,2023,https://ru.wikipedia.org/wiki/DNF_Duel,https://www.championat.com/cybersport/news-5366068-v-epic-games-store-startovala-ezhednevnaya-razdacha-igr.html
21 December 2023,Melvor Idle,2023,https://ru.wikipedia.org/wiki/Melvor_Idle?action=edit&redlink=1,https://kanobu.ru/news/v-egs-nachalas-besplatnaya-razdacha-melvor-idle-479893/
22 December 2023,Art of Rally,2023,https://ru.wikipedia.org/wiki/Art_of_Rally?action=edit&redlink=1,https://www.championat.com/cybersport/news-5368740-v-epic-games-store-startovala-razdacha-gonki-art-of-rally.html
23 December 2023,Fallout 3: Game of the Year Edition,2023,https://ru.wikipedia.org/wiki/Fallout_3,https://kanobu.ru/news/v-epic-games-store-nachalas-razdacha-fallout-3-479975/
24 December 2023,Ghostwire: Tokyo,2023,https://ru.wikipedia.org/wiki/Ghostwire:_Tokyo,https://ixbt.games/news/2023/12/24/v-epic-games-store-nacalas-razdaca-ghostwire-tokyo-no-ne-dlya-rossii.html
25 December 2023,The Outer Worlds: Spacer’s Choice Edition,2023,https://ru.wikipedia.org/wiki/The_Outer_Worlds,https://kanobu.ru/news/v-epic-games-store-nachalas-razdacha-topovogo-izdaniya-the-outer-worlds-480040/
26 December 2023,Human Resource Machine,2023,https://ru.wikipedia.org/wiki/Human_Resource_Machine?action=edit&redlink=1,https://dtf.ru/sale/2375509-v-egs-nachalas-razdacha-golovolomki-human-resource-machine-ot-avtorov-world-of-goo-i-little-inferno
27 December 2023,Cursed to Golf,2023,https://ru.wikipedia.org/wiki/Cursed_to_Golf?action=edit&redlink=1,https://ixbt.games/news/2023/12/27/v-epic-games-store-razdayut-cursed-to-golf-igru-pro-golf-s-syuzetom.html
28 December 2023,Cat Quest,2023,https://ru.wikipedia.org/wiki/Cat_Quest?action=edit&redlink=1,https://www.igromania.ru/news/134011/v-egs-stali-besplatno-otdavat-zamurrchatelnuyu-rolevuyu-igru-cat-quest/
29 December 2023,Snakebird Complete,2023,https://ru.wikipedia.org/wiki/Snakebird?action=edit&redlink=1,https://ixbt.games/news/2023/12/29/v-epic-games-store-nacalas-razdaca-golovolomki-snakebird-complete-no-ne-v-rossii.html
30 December 2023,Saints Row,2023,"https://ru.wikipedia.org/wiki/Saints_Row_(игра,_2022)",https://www.igromania.ru/news/134086/v-epic-games-store-nachali-besplatno-otdavat-saints-row/
31 December 2023,Ghostrunner,2023,https://ru.wikipedia.org/wiki/Ghostrunner,https://gamerant.com/epic-games-store-mystery-game-december-2023-ghostrunner-leaks-egs/
1 January 2024,Escape Academy,2024,https://ru.wikipedia.org/wiki/Escape_Academy?action=edit&redlink=1,https://www.championat.com/cybersport/news-5379540-v-epic-games-store-razdayut-simulyator-pobega-iz-komnat-escape-academy.html
2 January 2024,20 Minutes Till Dawn,2024,https://ru.wikipedia.org/wiki/20_Minutes_Till_Dawn?action=edit&redlink=1,https://www.igromania.ru/news/134103/v-epic-games-store-startovala-besplatnaya-razdacha-20-minutes-till-dawn/
3 January 2024,A Plague Tale: Innocence,2024,https://ru.wikipedia.org/wiki/A_Plague_Tale:_Innocence,https://www.igromania.ru/news/134116/v-epic-games-store-nachali-besplatno-otdavat-a-plague-tale-innocence/
4-11 January 2024,Guardians of the Galaxy,2024,https://ru.wikipedia.org/wiki/Guardians_of_the_Galaxy_(игра),https://www.igromania.ru/news/134127/v-egs-nachali-besplatno-otdavat-strazhej-galaktiki/
11-18 January 2024,Sail Forth,2024,https://ru.wikipedia.org/wiki/Sail_Forth?action=edit&redlink=1,https://ixbt.games/news/2024/01/11/v-egs-nacalas-i-slomalas-razdaca-uze-izvestnaya-sleduyushhaya-besplatnaya-igra.html
18-25 January 2024,LOVE,2024,"https://ru.wikipedia.org/wiki/LOVE_(игра,_2008)?action=edit&redlink=1",https://kanobu.ru/news/v-egs-startovala-razdacha-nedostupnoj-v-rossii-love-480915/
25 January - 1 February 2024,Infinifactory,2024,https://ru.wikipedia.org/wiki/Infinifactory?action=edit&redlink=1,https://kanobu.ru/news/v-epic-games-store-nachalas-razdacha-stroitelnogo-pazla-infinifactory-481286/
1-8 February 2024,Doors: Paradox,2024,https://ru.wikipedia.org/wiki/Doors:_Paradox?action=edit&redlink=1,https://www.igromania.ru/news/135072/egs-nachala-razdavat-golovolomku-doors-paradox-i-skoro-podarit-srazu-dve-igryi/
8-15 February 2024,Doki Doki Literature Club Plus!,2024,https://ru.wikipedia.org/wiki/Doki_Doki_Literature_Club!,https://www.igromania.ru/news/135308/v-egs-besplatno-otdayut-doki-doki-literature-club-i-razdadut-dakar-desert-rally/
15-22 February 2024,Dakar Desert Rally,2024,https://ru.wikipedia.org/wiki/Dakar_Desert_Rally?action=edit&redlink=1,https://www.igromania.ru/news/135554/v-egs-nachali-besplatno-otdavat-dakar-desert-rally-i-skoro-otdadut-fallout/
22-29 February 2024,Super Meat Boy Forever,2024,https://ru.wikipedia.org/wiki/Super_Meat_Boy_Forever,https://www.igromania.ru/news/135630/v-epic-games-store-razdadut-super-meat-boy-forever-vmesto-tryoh-igr-fallout/
