Date,Title,Year,Game Wiki Link,Source Links
30 December 2020,Torchlight II,2020,https://ru.wikipedia.org/wiki/Torchlight_II,https://www.igromania.ru/news/101196/Torchlight_II_daryat_v_Epic_Games_Store_do_31_dekabrya.html
31 December - 7 January 2021,Jurassic World Evolution,2020,https://ru.wikipedia.org/wiki/Jurassic_World_Evolution,https://dtf.ru/sale/597378-v-epic-games-store-nachalas-razdacha-jurassic-world-evolution
7-14 January 2021,Crying Suns,2021,https://ru.wikipedia.org/wiki/Crying_Suns,https://stopgame.ru/newsdata/46284/v_egs_daryat_crying_suns_rogalik_naveyannyy_ftl_na_ocheredi_star_wars_battlefront_ii
14-21 January 2021,Star Wars: Battlefront II,2021,https://ru.wikipedia.org/wiki/Star_Wars:_Battlefront_II_(2017),https://www.igromania.ru/news/101768/Star_Wars_Battlefront_II_v_Epic_Games_Store_besplatno_zabrali_19_mln_igrokov.html
21-28 January 2021,Galactic Civilizations III,2021,https://ru.wikipedia.org/wiki/Galactic_Civilizations_III,https://dtf.ru/sale/1032413-v-epic-games-store-nachalas-razdacha-galactic-civilizations-iii
28 January - 4 February 2021,Dandara: Trials of Fear Edition,2021,https://ru.wikipedia.org/wiki/Dandara,https://www.igromania.ru/news/101878/V_Epic_Games_Store_nachalas_besplatnaya_razdacha_Dandara_Trials_of_Fear_Edition.html
4-11 February 2021,For the King,2021,https://ru.wikipedia.org/wiki/For_the_King?action=edit&redlink=1,https://www.igromania.ru/news/102089/V_Epic_Games_Store_besplatno_otdayut_For_The_King_iMetro_Last_Light_Redux.html
11-18 February 2021,Halcyon 6,2021,https://ru.wikipedia.org/wiki/Halcyon_6?action=edit&redlink=1,https://dtf.ru/sale/639483-v-epic-games-store-startovala-rasprodazha-priurochennaya-k-vesennemu-pokazu-igr
18-25 February 2021,Absolute Drift,2021,https://ru.wikipedia.org/wiki/Absolute_Drift?action=edit&redlink=1,https://www.igromania.ru/news/102518/V_Epic_Games_Store_besplatno_otdayut_Rage_2_i_Absolute_Drift.html
25 February - 4 March 2021,Sunless Sea,2021,https://ru.wikipedia.org/wiki/Sunless_Sea,https://www.igromania.ru/news/102738/V_Epic_Games_Store_mozhno_besplatno_zabrat_mrachnoe_priklyuchenieSunless_Sea.html
4-11 March 2021,Wargame: Red Dragon,2021,https://ru.wikipedia.org/wiki/Wargame:_Red_Dragon,https://www.igromania.ru/news/102958/V_magazine_Epic_Games_nachalas_razdacha_strategii_Wargame_Red_Dragon.html
11-18 March 2021,Surviving Mars,2021,https://ru.wikipedia.org/wiki/Surviving_Mars,https://www.igromania.ru/news/103153/V_Epic_Games_Store_besplatno_otdayut_Surviving_Mars-vo_vtoroy_raz.html
18-25 March 2021,The Fall,2021,https://ru.wikipedia.org/wiki/The_Fall_(игра)?action=edit&redlink=1,https://www.igromania.ru/news/103395/V_Epic_Games_Store_razdayut_fantasticheskoe_priklyuchenie_The_Fall.html
25 March - 1 April 2021,Creature in the Well,2021,https://ru.wikipedia.org/wiki/Creature_in_the_Well?action=edit&redlink=1,https://www.igromania.ru/news/103598/V_Epic_Games_Store_besplatno_razdayut_Creature_in_the_Well.html
1-8 April 2021,Tales of the Neon Sea,2021,https://ru.wikipedia.org/wiki/Tales_of_the_Neon_Sea?action=edit&redlink=1,https://www.igromania.ru/news/103817/V_Epic_Games_Store_besplatno_otdayut_priklyuchenie_Tales_of_the_Neon_Sea.html
8-15 April 2021,3 out of 10: Season Two,2021,https://ru.wikipedia.org/wiki/3_out_of_10:_Season_Two?action=edit&redlink=1,https://www.igromania.ru/news/104016/V_Epic_Games_Store_besplatno_otdayut_3_out_of_10_a_cherez_nedelyu_budut_srazu_3_proekta.html
15-22 April 2021,The First Tree,2021,https://ru.wikipedia.org/wiki/The_First_Tree,https://www.igromania.ru/news/104222/V_Epic_Games_Store_nachalas_razdacha_srazu_pyati_igr.html
22-29 April 2021,Hand of Fate 2,2021,https://ru.wikipedia.org/wiki/Hand_of_Fate_2,https://www.igromania.ru/news/104451/V_Epic_Games_Store_besplatno_otdayut_Hand_of_Fate_2_i_Alien_Isolation.html
29 April - 6 May 2021,Idle Champions of the Forgotten Realms,2021,https://ru.wikipedia.org/wiki/Idle_Champions_of_the_Forgotten_Realms?action=edit&redlink=1,https://www.igromania.ru/news/104647/V_Epic_Games_Store_besplatno_otdayut_Idle_Champions_of_the_Forgotten_Realms.html
6-13 May 2021,Pine,2021,https://ru.wikipedia.org/wiki/Pine_(игра)?action=edit&redlink=1,https://www.igromania.ru/news/104832/V_Epic_Games_Store_nachalas_besplatnaya_razdacha_priklyuchencheskogo_boevika_Pine.html
13-20 May 2021,The Lion’s Song,2021,https://ru.wikipedia.org/wiki/The_Lion’s_Song?action=edit&redlink=1,https://www.igromania.ru/news/105022/Cherez_nedelyu_v_Epic_Games_Store_besplatno_otdadut_taynuyu_igru.html
20-27 May 2021,NBA 2K21,2021,https://ru.wikipedia.org/wiki/NBA_2K21,https://dtf.ru/sale/738192-v-epic-games-store-nachalas-megarasprodazha-s-razdachey-nba-2k21
27 May - 3 June 2021,Among Us,2021,https://ru.wikipedia.org/wiki/Among_Us,https://www.igromania.ru/news/106443/Avtory_Among_Us_razdali_bolshe_15_mln_kopiy_v_Epic_Games_Store.html
3-10 June 2021,Frostpunk,2021,https://ru.wikipedia.org/wiki/Frostpunk,https://www.igromania.ru/news/105678/Oficialno_v_Epic_Games_Store_razdayut_Frostpunk.html
10-17 June 2021,Control,2021,https://ru.wikipedia.org/wiki/Control_(игра),https://www.igromania.ru/news/105873/Segodnya_v_Epic_Games_Store_daryat_Control_a_potom-Overcooked_2.html
17-24 June 2021,Hell is Other Demons,2021,https://ru.wikipedia.org/wiki/Hell_is_Other_Demons?action=edit&redlink=1,https://www.igromania.ru/news/106096/V_Epic_Games_Store_besplatno_otdayut_Overcooked!_2_i_Hell_is_Other_Demons.html
24 June - 1 July 2021,Horizon Chase Turbo,2021,https://ru.wikipedia.org/wiki/Horizon_Chase?action=edit&redlink=1,https://www.igromania.ru/news/106280/V_Epic_Games_Store_besplatno_otdayut_Sonic_Mania_i_Horizon_Chase_Turbo.html
1-8 July 2021,The Spectrum Retreat,2021,https://ru.wikipedia.org/wiki/The_Spectrum_Retreat,https://www.igromania.ru/news/106488/V_Epic_Games_Store_besplatno_otdayut_golovolomku_The_Spectrum_Retreat.html
8-15 July 2021,Bridge Constructor: The Walking Dead,2021,https://ru.wikipedia.org/wiki/Bridge_Constructor:_The_Walking_Dead?action=edit&redlink=1,https://www.igromania.ru/news/106676/V_Epic_Games_Store_daryat_Bridge_Constructor_The_Walking_Dead_i_Ironcast.html
15-22 July 2021,Offworld Trading Company,2021,https://ru.wikipedia.org/wiki/Offworld_Trading_Company,https://dtf.ru/sale/797592-v-epic-games-store-nachalas-razdacha-offworld-trading-company-i-obduction
22-29 July 2021,Defense Grid: The Awakening,2021,https://ru.wikipedia.org/wiki/Defense_Grid:_The_Awakening,https://www.igromania.ru/news/107043/V_Epic_Games_Store_mozhno_besplatno_zabrat_Verdun_i_Defense_Grid_The_Awakening.html
