,End,Link,Name,Number,Start,Unnamed: 0,descr,fmt_orig_price,id,namespace,orig_price,tags
0,3/21/2024,https://store.epicgames.com/en-US/p/the-bridge,The Bridge,477,3/14/2024,0,The Bridge,$9.99,6b228a1ad940496dabc89ec6640107f3,epic,999.0,"[{'id': '1298'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}]"
1,3/21/2024,https://store.epicgames.com/en-US/p/deus-ex-mankind-divided-4c6370,Deus Ex: Mankind Divided,476,3/14/2024,1,"Secure the Digital Deluxe edition now to gain access to the Season Pass, an Extra In-Game Mission and more!",$44.99,a74220fd07e34b01987fb801433fb2e6,5c5b2b01c8ce475d86cdd2c76fd11f7b,4499.0,"[{'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1084'}]"
2,3/14/2024,https://store.epicgames.com/en-US/p/astro-duel-2-e1261d,Astro Duel 2,475,3/7/2024,2,"Astro Duel 2 is a sci-fi combat game combining top-down space dog fights with up-close platforming action. Whether versus or co-op, battle through space and on foot at the same time! Strike within the fully-destructible arenas or just nuke ‘em from orbit.",$19.99,bc38eac0277d41ec955690e25779cb53,4a681a809a094e2c8dcc68353c68fed6,1999.0,"[{'id': '1216'}, {'id': '21894'}, {'id': '19847'}, {'id': '9547'}, {'id': '9549'}, {'id': '1264'}, {'id': '1299'}, {'id': '1110'}, {'id': '22776'}, {'id': '1370'}, {'id': '1151'}, {'id': '1183'}, {'id': '10719'}]"
3,3/7/2024,https://store.epicgames.com/en-US/p/aerial-knights-never-yield,Aerial_Knight’s Never Yield,474,2/29/2024,3,"Take the role of Wally. A mysterious character that has recovered what was taken from him. Hopefully, you're fast enough to outrun your enemies.   Run, Jump, Slide or Dash for acrobatic variants leading to dope combinations and avoid the challenges that await.",$11.99,2fecb1793ce446408cd869611400a797,2ed7ed64d8604265924b85bbd5670220,1199.0,"[{'id': '1216'}, {'id': '21894'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}]"
4,2/29/2024,https://store.epicgames.com/en-US/p/super-meat-boy-forever,Super Meat Boy Forever,473,2/22/2024,4,Super Meat Boy Forever,$19.99,ef66029a1c0d467ea7755f6a88b4088c,epic,1999.0,"[{'id': '1216'}, {'id': '1370'}, {'id': '9547'}, {'id': '1151'}]"
5,2/22/2024,https://store.epicgames.com/en-US/p/dakar-desert-rally,Dakar Desert Rally,472,2/15/2024,5,"Dakar Desert Rally is the biggest off-road rally racing adventure ever developed. Experience the speed and excitement of the largest rally race on the planet, featuring a wide variety of licensed vehicles from motorcycles, cars, trucks, quads and SSVs.",$29.99,aca45f8a6b124590af039f97e148bd89,ac98aa34584648f2b71152e509191c1c,2999.0,"[{'id': '1393'}, {'id': '21138'}, {'id': '1203'}, {'id': '1188'}, {'id': '21140'}, {'id': '21141'}, {'id': '1370'}, {'id': '9547'}, {'id': '1212'}, {'id': '21149'}, {'id': '21135'}]"
6,2/15/2024,https://store.epicgames.com/en-US/p/lost-castle-abb2e2,Lost Castle,471,2/8/2024,6,Lost Castle is an action RPG beat'em up with roguelike elements and randomized dungeons for up to four players online and local!,$9.99,186b5f89167f48fd94a9538ebfe214c6,ab29925a0a9a49598adba45d108ceb3e,999.0,"[{'id': '1264'}, {'id': '1265'}, {'id': '21894'}, {'id': '1367'}, {'id': '1370'}, {'id': '1083'}, {'id': '9547'}, {'id': '9549'}]"
7,2/15/2024,https://store.epicgames.com/en-US/p/doki-doki-literature-club-plus,Doki Doki Literature Club Plus!,470,2/8/2024,7,Welcome to the club! Write poems for your crush and experience the terror of school romance in this critically-acclaimed psychological horror story.,$14.99,76cd108ce4354545bd825e181262dbad,1311a5735ed844c0b3c47027cab321f0,1499.0,"[{'id': '1218'}, {'id': '1367'}, {'id': '1370'}, {'id': '9547'}, {'id': '21147'}, {'id': '10719'}]"
8,2/8/2024,https://store.epicgames.com/en-US/p/doors-paradox-5896c7,Doors: Paradox,469,2/1/2024,8,"A relaxing puzzle escape game! Make your way through a variety of hand-crafted 3D dioramas, look for useful objects, find hidden clues, and solve fun puzzles! Unravel this mysterious adventure about chaos, order, and the surreal.",$14.99,b8dee54bce824477bc0b7cb298f9f9a9,88c17fed155e43068c338d33d1bcd481,1499.0,"[{'id': '1296'}, {'id': '1298'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}]"
9,2/1/2024,https://store.epicgames.com/en-US/p/infinifactory-ec9686,Infinifactory,468,1/25/2024,9,"Infinifactory is a sandbox puzzle game by Zachtronics, the creators of SpaceChem and Infiniminer. Build factories that assemble products for your alien overlords, and try not to die in the process",$24.99,e69075bc6dd84fa09b47af91b3ce6723,1260f09c5ab842b9a645e14f085ed5af,2499.0,"[{'id': '1298'}, {'id': '21138'}, {'id': '1188'}, {'id': '1370'}, {'id': '21146'}, {'id': '9547'}, {'id': '1294'}, {'id': '21150'}, {'id': '10719'}]"
10,1/25/2024,https://store.epicgames.com/en-US/p/love-65c4d0,Love,467,1/18/2024,10,,,,,,
11,1/18/2024,https://store.epicgames.com/en-US/p/sail-forth-51847e,Sail Forth,466,1/11/2024,11,"Sail a fleet of customizable ships across an ocean whose ancient depths have swallowed the key to the mysterious past. Befriend fishfolk to expand your boat crews, take up arms against petulant pirates, and chart a course across an expansive watery world.",$19.99,c819b6b40a034231ad64b8406f75814e,d93cf08971eb4920862a95870a051f81,1999.0,"[{'id': '1381'}, {'id': '21141'}, {'id': '19847'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '21149'}, {'id': '9549'}, {'id': '1263'}]"
