#,GG,Games,Start,End,Unique,Individual Titles,Suggestions
,,,,,490,480,Email
109,⭐,Sid Meier’s Civilization VI,5/21/2020,5/28/2020,,,
108,⭐,Grand Theft Auto V: Premium Edition,5/14/2020,5/21/2020,,,
107,,Death Coming,5/7/2020,5/14/2020,,,
106,,Crashlands,4/30/2020,5/7/2020,,,
105,,Amnesia: The Dark Descent,4/30/2020,5/7/2020,,,
104,,For the King,4/23/2020,4/30/2020,,,
103,,Wheels of Aurelia,4/16/2020,4/23/2020,,,
102,⭐,Just Cause 4,4/16/2020,4/23/2020,,,
101,,Close to the Sun,4/9/2020,4/16/2020,,,
100,,Sherlock Holmes: Crimes and Punishments,4/9/2020,4/16/2020,,,
99,,Drawful 2,4/2/2020,4/9/2020,,,
98,⭐,Gone Home,4/2/2020,4/9/2020,,,
97,,Hob,4/2/2020,4/9/2020,,,
96,,Totally Reliable Delivery Service,4/1/2020,4/8/2020,,,
95,,World War Z,3/26/2020,4/2/2020,,,
94,,Tormentor x Punisher,3/26/2020,4/2/2020,,,
93,,Figment,3/26/2020,4/2/2020,,,
92,⭐,The Stanley Parable,3/19/2020,3/26/2020,,,
91,⭐,Watch Dogs,3/19/2020,3/26/2020,,,
90,,Mutazione,3/12/2020,3/19/2020,,,
89,⭐,A Short Hike,3/12/2020,3/19/2020,,,
88,,Anodyne 2: Return to Dust,3/12/2020,3/19/2020,,,
87,,GoNNER,3/5/2020,3/12/2020,,,
86,,Offworld Trading Company,3/5/2020,3/12/2020,,,
85,,InnerSpace,2/27/2020,3/5/2020,,,
84,⭐,Assassin’s Creed Syndicate,2/20/2020,2/27/2020,,,
83,,Faeria,2/20/2020,2/27/2020,,,
82,,Aztez,2/13/2020,2/20/2020,,,
81,,Kingdom Come: Deliverance,2/13/2020,2/20/2020,,,
80,,Carcassonne,2/6/2020,2/13/2020,,,
79,,Ticket to Ride,2/6/2020,2/13/2020,,,
78,,Farming Simulator 19,1/30/2020,2/6/2020,,,
77,,The Bridge,1/23/2020,1/30/2020,,,
76,,Horace,1/16/2020,1/23/2020,,,
75,,Sundered: Eldritch Edition,1/9/2020,1/16/2020,,,
74,,Darksiders II,1/1/2020,1/9/2020,,,
73,,Darksiders,1/1/2020,1/9/2020,,,
72,,Steep,1/1/2020,1/9/2020,,,
71,,Yooka-Laylee and the Impossible Lair,12/31/2019,1/1/2020,,,
70,,Hello Neighbor,12/30/2019,12/31/2019,,,
69,,The Talos Principle,12/29/2019,12/30/2019,,,
68,,Shadow Tactics: Blades of the Shogun,12/28/2019,12/29/2019,,,
67,,Hyper Light Drifter,12/27/2019,12/28/2019,,,
66,,FTL: Faster Than Light,12/26/2019,12/27/2019,,,
65,,Totally Accurate Battle Simulator,12/25/2019,12/26/2019,,,
64,⭐,Celeste,12/24/2019,12/25/2019,,,
63,,Ape Out,12/23/2019,12/24/2019,,,
62,⭐,Little Inferno,12/22/2019,12/23/2019,,,
61,,Superhot,12/21/2019,12/22/2019,,,
60,,TowerFall Ascension,12/20/2019,12/21/2019,,,
59,,Into the Breach,12/19/2019,12/20/2019,,,
58,,The Escapists,12/12/2019,12/19/2019,,,
57,⭐,The Wolf Among Us,12/12/2019,12/19/2019,,,
56,,Jotun: Valhalla Edition,12/6/2019,12/12/2019,,,
55,⭐,Rayman Legends,11/29/2019,12/6/2019,,,
54,,Bad North,11/21/2019,11/29/2019,,,
53,,The Messenger,11/14/2019,11/21/2019,,,
52,,Nuclear Throne,11/7/2019,11/14/2019,,,
51,,Ruiner,11/7/2019,11/14/2019,,,
50,,Costume Quest,10/31/2019,11/7/2019,,,
49,,SOMA,10/31/2019,11/7/2019,,,
48,,Q.U.B.E. 2,10/24/2019,10/31/2019,,,
47,,Layers of Fear,10/24/2019,10/31/2019,,,
46,,Observer,10/17/2019,10/24/2019,,,
45,⭐,Alan Wake’s American Nightmare,10/17/2019,10/24/2019,,,
44,,Surviving Mars,10/10/2019,10/17/2019,,,
43,,Minit,10/3/2019,10/10/2019,,,
42,,Everything,9/26/2019,10/3/2019,,,
41,,Metro 2033 Redux,9/26/2019,10/3/2019,,,
40,⭐,Batman: Arkham Knight,9/19/2019,9/26/2019,,,
39,⭐,Batman: Arkham City,9/19/2019,9/26/2019,,,
38,⭐,Batman: Arkham Asylum,9/19/2019,9/26/2019,,,
37,,LEGO Batman 3: Beyond Gotham,9/19/2019,9/26/2019,,,
36,,LEGO Batman 2: DC Super Heroes,9/19/2019,9/26/2019,,,
35,,LEGO Batman: The Videogame,9/19/2019,9/26/2019,,,
34,,Conarium,9/12/2019,9/19/2019,,,
33,,The End Is Nigh,9/5/2019,9/12/2019,,,
32,,Abzû,9/5/2019,9/12/2019,,,
31,,Celeste,8/29/2019,9/5/2019,,,
30,,Inside,8/29/2019,9/5/2019,,,
29,,Fez,8/22/2019,8/29/2019,,,
28,,Hyper Light Drifter,8/15/2019,8/22/2019,,,
27,,Mutant Year Zero: Road to Eden,8/15/2019,8/22/2019,,,
26,,GNOG,8/8/2019,8/15/2019,,,
25,,For Honor,8/2/2019,8/9/2019,,,
24,⭐,Alan Wake,8/2/2019,8/9/2019,,,
23,,Moonlighter,7/25/2019,8/2/2019,,,
22,⭐,This War of Mine,7/25/2019,8/2/2019,,,
21,⭐,Limbo,7/17/2019,7/25/2019,,,
20,,Torchlight,7/11/2019,7/18/2019,,,
19,,Overcooked,7/4/2019,7/11/2019,,,
18,,Last Day of June,6/27/2019,7/4/2019,,,
17,,Rebel Galaxy,6/20/2019,6/27/2019,,,
16,,Enter the Gungeon,6/13/2019,6/20/2019,,,
15,,Kingdom: New Lands,6/6/2019,6/13/2019,,,
14,,City of Brass,5/30/2019,6/6/2019,,,
13,,RiME,5/23/2019,5/30/2019,,,
12,,Stories Untold,5/16/2019,5/30/2019,,,
11,⭐,World of Goo,5/2/2019,5/16/2019,,,
10,,Transistor,4/18/2019,5/2/2019,,,
9,⭐,The Witness,4/4/2019,4/18/2019,,,
8,⭐,Oxenfree,3/21/2019,4/4/2019,,,
7,⭐,Slime Rancher,3/7/2019,3/21/2019,,,
6,,Thimbleweed Park,2/22/2019,3/7/2019,,,
5,⭐,Axiom Verge,2/7/2019,2/22/2019,,,
4,,The Jackbox Party Pack,1/24/2019,2/7/2019,,,
3,⭐,What Remains of Edith Finch,1/11/2019,1/24/2019,,,
2,⭐,Super Meat Boy,12/28/2018,1/10/2019,,,
1,⭐,Subnautica,12/12/2018,12/27/2018,,,
