,Number,Name,Start,End,Link
429,48,Q.U.B.E. 2,10/24/2019,10/31/2019,https://store.epicgames.com/en-US/p/q-u-b-e-2
430,47,Layers of Fear,10/24/2019,10/31/2019,https://store.epicgames.com/en-US/p/layers-of-fears-85a02b
431,46,Observer,10/17/2019,10/24/2019,https://store.epicgames.com/en-US/p/observer-system-redux
432,45,Alan Wake’s American Nightmare,10/17/2019,10/24/2019,https://store.epicgames.com/en-US/p/alan-wake-american-nightmare
433,44,Surviving Mars,10/10/2019,10/17/2019,https://store.epicgames.com/en-US/p/surviving-mars
434,43,Minit,10/3/2019,10/10/2019,https://store.epicgames.com/en-US/p/minit
435,42,Everything,9/26/2019,10/3/2019,https://store.epicgames.com/en-US/p/everything
436,41,Metro 2033 Redux,9/26/2019,10/3/2019,https://store.epicgames.com/en-US/p/metro-2033-redux
437,40,Batman: Arkham Knight,9/19/2019,9/26/2019,https://store.epicgames.com/en-US/p/batman-arkham-knight
438,39,Batman: Arkham City,9/19/2019,9/26/2019,https://store.epicgames.com/en-US/p/batman-arkham-city
439,38,Batman: Arkham Asylum,9/19/2019,9/26/2019,https://store.epicgames.com/en-US/p/batman-arkham-asylum
440,37,LEGO Batman 3: Beyond Gotham,9/19/2019,9/26/2019,https://store.epicgames.com/en-US/p/lego-batman-3
441,36,LEGO Batman 2: DC Super Heroes,9/19/2019,9/26/2019,https://store.epicgames.com/en-US/p/lego-batman-2
442,35,LEGO Batman: The Videogame,9/19/2019,9/26/2019,https://store.epicgames.com/en-US/p/lego-batman
443,34,Conarium,9/12/2019,9/19/2019,https://store.epicgames.com/en-US/p/conarium
444,33,The End Is Nigh,9/5/2019,9/12/2019,https://store.epicgames.com/en-US/p/the-end-is-nigh
445,32,Abzû,9/5/2019,9/12/2019,https://store.epicgames.com/en-US/p/abzu
446,31,Celeste,8/29/2019,9/5/2019,https://store.epicgames.com/en-US/p/celeste
447,30,Inside,8/29/2019,9/5/2019,https://store.epicgames.com/en-US/p/inside
448,29,Fez,8/22/2019,8/29/2019,https://store.epicgames.com/en-US/p/fez
449,28,Hyper Light Drifter,8/15/2019,8/22/2019,https://store.epicgames.com/en-US/p/hyper-light-drifter
450,27,Mutant Year Zero: Road to Eden,8/15/2019,8/22/2019,https://store.epicgames.com/en-US/p/mutant-year-zero
451,26,GNOG,8/8/2019,8/15/2019,https://store.epicgames.com/en-US/p/gnog
452,25,For Honor,8/2/2019,8/9/2019,https://store.epicgames.com/en-US/p/for-honor
453,24,Alan Wake,8/2/2019,8/9/2019,https://store.epicgames.com/en-US/p/alan-wake
454,23,Moonlighter,7/25/2019,8/2/2019,https://store.epicgames.com/en-US/p/moonlighter
455,22,This War of Mine,7/25/2019,8/2/2019,https://store.epicgames.com/en-US/p/this-war-of-mine
456,21,Limbo,7/17/2019,7/25/2019,https://store.epicgames.com/en-US/p/limbo
457,20,Torchlight,7/11/2019,7/18/2019,https://store.epicgames.com/en-US/p/torchlight
458,19,Overcooked,7/4/2019,7/11/2019,https://store.epicgames.com/en-US/p/overcooked
459,18,Last Day of June,6/27/2019,7/4/2019,https://store.epicgames.com/en-US/p/last-day-of-june
460,17,Rebel Galaxy,6/20/2019,6/27/2019,https://store.epicgames.com/en-US/p/rebel-galaxy
461,16,Enter the Gungeon,6/13/2019,6/20/2019,https://store.epicgames.com/en-US/p/enter-the-gungeon
462,15,Kingdom: New Lands,6/6/2019,6/13/2019,https://store.epicgames.com/en-US/p/kingdom-new-lands
463,14,City of Brass,5/30/2019,6/6/2019,https://store.epicgames.com/en-US/p/city-of-brass
464,13,RiME,5/23/2019,5/30/2019,https://store.epicgames.com/en-US/p/rime
