,id,descr,namespace,orig_price,fmt_orig_price,tags
18,fddca2297b9a4354b59f8f83d4975c90,"Experience hit puzzle classic Snakebird and Snakebird Primer in Snakebird Complete, a brand new package that reunites both beloved titles into one seamless experience. Now with a hint system!",efc30c2078a2499ab979d198255e2e4b,1499.0,$14.99,"[{'id': '1298'}, {'id': '21894'}, {'id': '1370'}, {'id': '9547'}, {'id': '21150'}, {'id': '10719'}]"
19,2da36fbed1b34d1997e5ffb1f8efdeb6,"The multi award-winning Action RPG. Cat Quest's loot-fuelled cat-venture is as beautifully crafted, as its combat and magic are ultra-satisfying. Universally adored by critics - it'll have you purring for joy!",c986e75258a146fba03a920dba852ca9,1299.0,$12.99,"[{'id': '1296'}, {'id': '21894'}, {'id': '1367'}, {'id': '19847'}, {'id': '1336'}, {'id': '1370'}, {'id': '21147'}, {'id': '9547'}, {'id': '9549'}]"
20,cc8016226a1a4bca9208e071073ad788,Cursed to Golf is a golf-like adventure where every shot counts. Players are tasked with making it out of Golf Purgatory to become a Golfing Legend.,2cdc5a2758a6445d8d4f399ecb469aaf,1999.0,$19.99,"[{'id': '1216'}, {'id': '1283'}, {'id': '21109'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '1263'}]"
21,6a76c942e36e46c4ab566a21b5f46461,Human Resource Machine,epic,1499.0,$14.99,"[{'id': '1298'}, {'id': '1370'}, {'id': '9547'}, {'id': '9548'}, {'id': '1102'}, {'id': '1263'}]"
22,,,,,,
23,53a6356d1f4945e58d8c8e9f511c3c9d,"Tokyo's population has vanished, and deadly supernatural forces prowl the streets. Use an arsenal of elemental abilities to unravel the truth behind the disappearance and save Tokyo. ",a93cd6111251461c953776a0c4ea4d80,5999.0,$59.99,"[{'id': '1216'}, {'id': '21122'}, {'id': '1188'}, {'id': '21894'}, {'id': '21127'}, {'id': '9547'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21109'}, {'id': '21141'}, {'id': '1336'}, {'id': '1370'}, {'id': '1117'}, {'id': '21149'}, {'id': '21119'}]"
24,d6f01b1827c64ed388191ae507fe7c1b,"Prepare for the Future™
Experience the most acclaimed game of 2008 like never before with Fallout 3: Game of the Year Edition. Create a character of your choosing and descend into a post-apocalyptic world where every minute is a fight for survival",fa702d34a37248ba98fb17f680c085e3,1999.0,$19.99,"[{'id': '21122'}, {'id': '1188'}, {'id': '21894'}, {'id': '21127'}, {'id': '9547'}, {'id': '21137'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1367'}, {'id': '1370'}, {'id': '1307'}, {'id': '21147'}, {'id': '1117'}, {'id': '21149'}, {'id': '21119'}]"
25,8a2dd95a9fe04bdebde02b46a8f41aed,art of rally is a stylized experience inspired by the golden era of rally from the creator of Absolute Drift  Race across the world through colorful and stylized environments in top-down view.  Will you master the art of rally?,4751c4f6a96547209a33831d847d2810,2499.0,$24.99,"[{'id': '21121'}, {'id': '1188'}, {'id': '21125'}, {'id': '21894'}, {'id': '19847'}, {'id': '21129'}, {'id': '9547'}, {'id': '9549'}, {'id': '21138'}, {'id': '21139'}, {'id': '21140'}, {'id': '21141'}, {'id': '1400'}, {'id': '1212'}, {'id': '21149'}, {'id': '10719'}]"
26,99f665baf7ab4d5597504a2ff46b3edc,"Inspired by RuneScape, Melvor Idle takes the core of what makes an adventure game so addictive and strips it down to its purest form! This is a feature-rich, idle/incremental game combining a distinctly familiar feel with a fresh gameplay experience.",207c42b0325d40ebb0414041dac29b19,999.0,$9.99,"[{'id': '1188'}, {'id': '21127'}, {'id': '9547'}, {'id': '1263'}, {'id': '21137'}, {'id': '21138'}, {'id': '21141'}, {'id': '1367'}, {'id': '1370'}, {'id': '1115'}, {'id': '21147'}, {'id': '21149'}, {'id': '10719'}, {'id': '21119'}]"
27,9f314276c254423bb9b145480b5b150b,"Action fighting at its extreme! One of the most popular and widely played RPGs in the world, Dungeon and Fighter is now back as a 2.5D action fighting game. Choose from 16 charming characters, each with their distinct skills and personalities.",3eb832eb6d9f4496818a0b0d667420c0,4999.0,$49.99,"[{'id': '1344'}, {'id': '29088'}, {'id': '21121'}, {'id': '21122'}, {'id': '1188'}, {'id': '21125'}, {'id': '19847'}, {'id': '9547'}, {'id': '9549'}, {'id': '21138'}, {'id': '21139'}, {'id': '21141'}, {'id': '1370'}, {'id': '21149'}, {'id': '21119'}]"
