title,from_date,giveaway_year,is_repeat,is_standalone_game,egs_meets_threshold,egs_original_price_usd,egs_publisher,egs_tags,mc_criticScore,hltb_main_story
The Darkside Detective: A Fumble in the Dark,2026-02-12,2026,False,True,True,14.99,Akupara Games,"Diverse Characters, RELAXING, Exploration, Silly Community, Windows, Controller Support, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Comedy, Adventure, Quickly Understand the Controls, Mac OS, Great for Beginners",84.0,7.85
Botany Manor,2026-02-05,2026,False,True,True,24.99,White Thorn Digital,"Puzzle, Achievements, Single Player, Windows, Adventure, Controller Support, Indie",82.0,3.43
Botany Manor,2026-02-05,2026,False,True,True,24.99,White Thorn Digital,"Puzzle, Achievements, Single Player, Windows, Adventure, Controller Support, Indie",82.0,3.43
Poison Retro Set,2026-02-05,2026,False,False,False,,,,75.0,
Faily Brakes 2,2026-01-29,2026,False,True,False,,,,,0.0
Definitely Not Fried Chicken,2026-01-29,2026,False,True,True,24.99,Silver Lining Interactive,"Playful Visuals, Simulation, Recommend this Game, RELAXING, Amazing Storytelling, Extremely Fun, Achievements, Single Player, Strategy, Windows, Quickly Understand the Controls, Indie",,0.0
The Forest Quartet,2026-01-22,2026,False,True,True,9.99,Bedtime Digital Games ApS,"Puzzle, Achievements, Music, Single Player, Windows, Adventure, Controller Support",71.0,1.29
Rustler (Grand Theft Horse),2026-01-22,2026,False,True,True,24.99,Games Operators S.A.,"Action, Cloud Saves, RPG, Achievements, Single Player, Open World, Windows, Controller Support",97.0,
Dumb Ways to Die,2026-01-15,2026,False,True,False,,,,70.0,0.96
Styx: Master of Shadows,2026-01-15,2026,False,True,True,19.99,Nacon,"Recommend this Game, Amazing Characters, RELAXING, Amazing Storytelling, Extremely Fun, Fantasy, Action-Adventure, Challenging Combat, Single Player, Windows, Stealth, Quickly Understand the Controls",71.0,16.99
Styx: Shards of Darkness,2026-01-15,2026,False,True,True,19.99,Nacon,"RELAXING, Fantasy, Achievements, Challenging Combat, Windows, Recommend this Game, Amazing Characters, Nacon Publisher Sale, Amazing Storytelling, Extremely Fun, Action-Adventure, Single Player, Stealth, Quickly Understand the Controls, Great for Beginners",72.0,12.2
Bouncemasters,2026-01-08,2026,False,True,False,,,,,2.42
Bloons TD 6,2026-01-08,2026,True,True,True,13.99,Ninja Kiwi,"Online Multiplayer, Diverse Characters, RELAXING, Creative Community, Promotional Content, Windows, Co-op, Playful Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Cross Platform, Single Player, Strategy, Quickly Understand the Controls, Great for Beginners",,36.42
Bloons TD 6,2026-01-08,2026,True,True,True,13.99,Ninja Kiwi,"Online Multiplayer, Diverse Characters, RELAXING, Creative Community, Promotional Content, Windows, Co-op, Playful Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Cross Platform, Single Player, Strategy, Quickly Understand the Controls, Great for Beginners",,36.42
Bloons TD 6,2026-01-08,2026,True,True,True,13.99,Ninja Kiwi,"Online Multiplayer, Diverse Characters, RELAXING, Creative Community, Promotional Content, Windows, Co-op, Playful Visuals, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Cross Platform, Single Player, Strategy, Quickly Understand the Controls, Great for Beginners",,36.42
Skul: The Hero Slayer,2026-01-01,2026,False,True,True,19.99,NEOWIZ,"Action, Diverse Characters, RELAXING, Achievements, Creative Community, Challenging Combat, Windows, Controller Support, Recommend this Game, Amazing Characters, Amazing Storytelling, Extremely Fun, Single Player, Quickly Understand the Controls, Mac OS, Great for Beginners",80.0,20.49
Total War: THREE KINGDOMS,2026-01-01,2026,False,True,True,39.99,SEGA of Europe,"Action, Online Multiplayer, Diverse Characters, RELAXING, Windows, Co-op, Recommend this Game, Amazing Characters, Amazing Storytelling, Great Boss Battles, Extremely Fun, Single Player, Educational, Strategy, Quickly Understand the Controls",85.0,46.03
Wildgate: Standard Edition,2026-01-01,2026,False,True,True,29.99,"Dreamhaven, Inc.","Action, Co-op, Online Multiplayer, Space, Competitive, Achievements, Cross Platform, Shooter, Single Player, Windows, Controller Support",72.0,
